County,Larceny-Theft,Hands  Fists  Feet,Bicycles,Attempted Rape,Commercial,Convenience Store,Trucks and Buses,Motor Vehicle Accessories,Automotive,Other Property,Gas Station,Firearm,No Force,Coin Operated Machine,$200 through $400,Rape,Arson,Day,From Building,Shoplifting,Over $200,Miscellaneous,Knife or Cutting Instrument,Purse-Snatching,$50 through $199,Strong-Arm,Motor Vehicle Theft,Violent Crimes,Under $50,Bank,From Motor Vehicle,Residence,Homicide,Over $400,Burglary,Mobile Property,Other,Aggravated Assault,Pocket-Picking,Robbery,Forcible Entry,Non-Residence,Highway,Structural Property,Rape (Forcible Rape prior to 2014),Property Crimes,Other Weapon,Unknown,Night
San Diego,"37,946","1,836","2,648",124.0,684,153.0,"1,161","1,387","7,338",127,99.0,829,"4,462",46.0,"5,981",974,347,708,"9,112","5,318",0.0,318,"1,461",159.0,"6,951","1,781","9,731","11,288","8,907",48.0,"15,022","5,267",80.0,"16,107","9,120",69.0,"4,175","7,097",79.0,"3,013","4,658","3,853","1,495",151.0,"1,098","56,797","2,971","1,707","1,438"
Monterey,"6,026",373,310,9.0,94,74.0,412,764,"1,519",14,19.0,246,729,35.0,785,159,58,273,455,805,0.0,82,150,20.0,"1,058",230,"2,080","1,802","1,871",1.0,"2,502","1,026",43.0,"2,312","1,937",17.0,"1,107","1,044",28.0,547,"1,208",911,246,27.0,168,"10,043",275,189,449
Santa Cruz,"6,445",226,607,22.0,6,23.0,187,445,964,25,11.0,80,501,28.0,"1,021",134,69,117,427,902,0.0,139,128,34.0,"1,125",112,"1,267","1,056","1,633",4.0,"2,858",584,3.0,"2,666","1,235",7.0,"1,124",665,20.0,232,734,651,28,37.0,156,"8,947",231,159,375
Tulare,106.0,14.0,1.0,0.0,0.0,0.0,0.0,14.0,63.0,0.0,0.0,16.0,17.0,2.0,15.0,5.0,1.0,1.0,17.0,13.0,0.0,6.0,10.0,1.0,10.0,1.0,64.0,77.0,34.0,2.0,16.0,55.0,1.0,47.0,84.0,0.0,36.0,63.0,6.0,8.0,67.0,29.0,0.0,1.0,5.0,254.0,23.0,22.0,6.0
Madera,"1,830",416,73,8.0,17,16.0,68,70,585,15,4.0,71,302,13.0,278,48,32,88,241,211,0.0,77,56,13.0,384,82,713,891,570,1.0,461,533,7.0,598,941,8.0,741,683,7.0,145,639,408,13,9.0,56,"3,484",140,93,227
Plumas,158.0,57.0,14.0,0.0,4.0,0.0,0.0,9.0,4.0,4.0,0.0,2.0,72.0,0.0,26.0,23.0,6.0,54.0,22.0,9.0,0.0,1.0,10.0,0.0,31.0,2.0,6.0,146.0,35.0,0.0,26.0,67.0,0.0,66.0,140.0,1.0,71.0,116.0,7.0,7.0,68.0,73.0,2.0,1.0,23.0,304.0,47.0,0.0,19.0
Modoc,124.0,16.0,10.0,0.0,0.0,0.0,3.0,6.0,10.0,1.0,0.0,0.0,20.0,0.0,24.0,2.0,2.0,5.0,37.0,2.0,0.0,1.0,5.0,0.0,38.0,2.0,15.0,58.0,25.0,0.0,18.0,26.0,2.0,37.0,40.0,0.0,51.0,51.0,0.0,3.0,20.0,14.0,0.0,1.0,2.0,179.0,30.0,4.0,5.0
Sacramento,"23,443","1,129","1,195",18.0,483,111.0,908,"3,162","4,884",124,73.0,"1,264","2,300",40.0,"3,407",369,315,906,"1,654","2,791",0.0,385,651,73.0,"4,153","1,088","6,203","7,412","6,304",23.0,"7,695","4,224",78.0,"9,579","6,942",58.0,"6,798","4,741",35.0,"2,206","4,642","2,718",736,133.0,387,"36,588","1,697",414,"1,398"
Calaveras,463.0,74.0,8.0,2.0,1.0,0.0,35.0,58.0,42.0,0.0,0.0,20.0,88.0,1.0,66.0,28.0,0.0,39.0,57.0,35.0,0.0,1.0,18.0,7.0,64.0,9.0,99.0,208.0,185.0,0.0,85.0,118.0,2.0,148.0,228.0,0.0,211.0,159.0,1.0,17.0,140.0,110.0,6.0,0.0,30.0,790.0,47.0,30.0,41.0
San Francisco,"45,385",870,790,54.0,187,251.0,422,93,"3,803",134,8.0,296,"2,494",8.0,"3,387",319,303,"1,088","2,876","2,208",0.0,"1,896",331,46.0,"3,213","2,065","4,875","6,410","17,403",26.0,"29,851","2,019",56.0,"21,382","4,993",95.0,"8,672","2,700",841.0,"3,281","2,499","2,974",862,74.0,373,"55,253","1,203",16,"1,870"
