CDS_CODE	COUNTY	DISTRICT	SCHOOL	HISPANIC	AM_IND	ASIAN	PAC_ISLD	FILIPINO	AFRICAN_AM	WHITE	TWO_MORE_RACES	NOT_REPORTED	TOTAL	YEAR
01100170109835	Alameda	Alameda County Office of Education	FAME Public Charter	1	0	4	0	0	1	4	0	0	10	1011
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	3	0	1	0	0	25	1	2	0	32	1011
01100170118489	Alameda	Alameda County Office of Education	Aspire California College Preparatory Academy	10	0	0	0	0	3	0	0	0	13	1011
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	0	0	0	0	0	0	0	0	0	0	1011
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	0	0	0	0	0	0	0	0	0	0	1011
01100170130427	Alameda	Alameda County Office of Education	Alameda County Opportunity	0	0	0	0	0	0	0	0	0	0	1011
01316170131763	Alameda	California School for the Deaf-Fremont (State Spec	California School for the Deaf-Fremont	0	0	1	0	0	0	4	0	0	5	1011
01611190106401	Alameda	Alameda City Unified	Alameda Science and Technology Institute	1	0	16	0	0	2	4	0	0	23	1011
01611190130229	Alameda	Alameda City Unified	Alameda High	11	0	112	2	13	7	80	1	0	226	1011
01611190130609	Alameda	Alameda City Unified	Alameda Community Learning Center	1	0	6	0	1	4	12	0	0	24	1011
01611190130625	Alameda	Alameda City Unified	Bay Area School of Enterprise	8	1	1	0	0	6	1	3	1	21	1011
01611190132878	Alameda	Alameda City Unified	Encinal High	5	0	25	1	12	6	16	0	0	65	1011
01611190134304	Alameda	Alameda City Unified	Island High (Continuation)	0	0	0	0	0	0	0	0	0	0	1011
01611270130294	Alameda	Albany City Unified	MacGregor High (Continuation)	0	0	0	0	0	0	1	0	0	1	1011
01611270130450	Alameda	Albany City Unified	Albany High	5	1	26	0	1	2	42	0	0	77	1011
01611430000001	Alameda	Berkeley Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	0	0	0	0	1011
01611430131177	Alameda	Berkeley Unified	Berkeley High	58	1	38	0	2	58	171	32	18	378	1011
01611430134924	Alameda	Berkeley Unified	Berkeley Technology Academy	0	0	0	0	0	0	0	0	0	0	1011
01611500132225	Alameda	Castro Valley Unified	Castro Valley High	57	0	154	0	11	13	134	42	0	411	1011
01611500135533	Alameda	Castro Valley Unified	Redwood Continuation High	0	0	0	0	0	0	0	0	0	0	1011
01611680132746	Alameda	Emery Unified	Emery Secondary	3	0	0	0	0	6	1	0	0	10	1011
01611760130062	Alameda	Fremont Unified	American High	14	0	143	2	29	7	37	2	0	234	1011
01611760130138	Alameda	Fremont Unified	Robertson High (Continuation)	0	0	0	0	0	0	0	0	0	0	1011
01611760130435	Alameda	Fremont Unified	Vista Alternative	0	0	0	0	0	0	0	0	0	0	1011
