CDS_CODE	COUNTY	DISTRICT	SCHOOL	HISPANIC	AM_IND	ASIAN	PAC_ISLD	FILIPINO	AFRICAN_AM	WHITE	TWO_MORE_RACES	NOT_REPORTED	TOTAL	YEAR
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	37	1	2	0	0	24	5	0	0	69	1617
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	0	0	0	0	0	0	0	0	0	0	1617
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	0	0	0	0	0	0	0	0	0	0	1617
01316170131763	Alameda	California School for the Deaf-Fremont (State Spec	California School for the Deaf-Fremont	0	0	0	0	0	0	0	0	0	0	1617
01611190000001	Alameda	Alameda Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	0	0	0	0	1617
01611190106401	Alameda	Alameda Unified	Alameda Science and Technology Institute	8	0	24	1	5	1	2	1	0	42	1617
01611190119222	Alameda	Alameda Unified	Nea Community Learning Center	4	1	4	0	0	3	3	1	0	16	1617
01611190130229	Alameda	Alameda Unified	Alameda High	17	1	135	0	7	13	83	6	0	262	1617
01611190130609	Alameda	Alameda Unified	Alameda Community Learning Center	8	1	10	0	1	1	14	6	0	41	1617
01611190130625	Alameda	Alameda Unified	Alternatives in Action	26	0	0	0	0	0	0	0	1	27	1617
01611190132142	Alameda	Alameda Unified	Encinal Junior/Senior High	10	0	25	0	19	13	13	2	0	82	1617
01611190134304	Alameda	Alameda Unified	Island High (Continuation)	0	0	0	0	0	0	0	0	0	0	1617
01611270130294	Alameda	Albany City Unified	MacGregor High (Continuation)	0	0	0	0	0	0	0	0	0	0	1617
01611270130450	Alameda	Albany City Unified	Albany High	21	0	56	0	0	6	77	15	0	175	1617
01611430122697	Alameda	Berkeley Unified	REALM Charter High	17	0	1	1	1	13	1	1	1	36	1617
01611430131177	Alameda	Berkeley Unified	Berkeley High	7	0	2	0	1	14	9	2	0	35	1617
01611430134924	Alameda	Berkeley Unified	Berkeley Technology Academy	0	0	0	0	0	0	0	0	0	0	1617
01611500132225	Alameda	Castro Valley Unified	Castro Valley High	77	0	117	3	29	23	119	35	5	408	1617
01611500133876	Alameda	Castro Valley Unified	Castro Valley Virtual Academy	0	0	0	0	0	0	0	0	0	0	1617
01611500135533	Alameda	Castro Valley Unified	Redwood Continuation High	0	0	0	0	0	1	1	0	0	2	1617
01611680132746	Alameda	Emery Unified	Emery Secondary	1	0	3	0	0	4	1	2	0	11	1617
01611760000001	Alameda	Fremont Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	0	0	0	0	1617
01611760130062	Alameda	Fremont Unified	American High	20	1	224	3	39	5	50	4	0	346	1617
01611760130138	Alameda	Fremont Unified	Robertson High (Continuation)	0	0	0	0	0	0	0	0	0	0	1617
01611760130435	Alameda	Fremont Unified	Vista Alternative	0	0	0	0	0	0	0	0	0	0	1617
01611760130534	Alameda	Fremont Unified	Circle of Independent Learning	1	0	7	0	0	0	3	0	0	11	1617
01611760134270	Alameda	Fremont Unified	Irvington High	14	0	236	4	27	3	51	3	0	338	1617
01611760134452	Alameda	Fremont Unified	John F. Kennedy High	31	0	57	3	16	10	43	3	0	163	1617
01611760135244	Alameda	Fremont Unified	Mission San Jose High	2	0	397	1	5	0	18	1	0	424	1617
01611760138693	Alameda	Fremont Unified	Washington High	23	0	110	1	19	3	64	7	0	227	1617
01611920000001	Alameda	Hayward Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	0	0	0	0	1617
01611920108670	Alameda	Hayward Unified	Leadership Public Schools - Hayward	76	0	14	4	12	4	5	3	0	118	1617
01611920113902	Alameda	Hayward Unified	Impact Academy of Arts & Technology	78	0	4	1	5	8	7	5	0	108	1617
01611920127944	Alameda	Hayward Unified	Silver Oak High Public Montessori Charter	22	0	2	0	0	3	5	0	2	34	1617
01611920133009	Alameda	Hayward Unified	Brenkwitz High	0	0	0	0	0	0	0	0	0	0	1617
01611920133629	Alameda	Hayward Unified	Hayward High	69	0	13	1	10	18	9	5	0	125	1617
01611920135319	Alameda	Hayward Unified	Mt. Eden High	84	2	49	7	41	17	9	2	0	211	1617
01611920138339	Alameda	Hayward Unified	Tennyson High	67	0	14	8	6	2	4	0	0	101	1617
