" ","2017","2022"
"Crimes","",""
"Violent Crimes","9,923","11,125"
"Homicide","90","158"
"Rape (Forcible Rape prior to 2014)","810","691"
"Rape","768","656"
"Attempted Rape","42","35"
"Robbery","4,817","4,528"
"Weapon","",""
"Firearm","1,783","2,151"
"Knife or Cutting Instrument","309","213"
"Other Weapon","329","347"
"Strong-Arm","2,396","1,817"
"Location","",""
"Highway","2,501","2,357"
"Commercial","453","447"
"Gas Station","109","120"
"Convenience Store","261","304"
"Residence","297","314"
"Bank","38","62"
"Miscellaneous","1,158","924"
"Aggravated Assault","4,206","5,748"
"Weapon","",""
"Firearm","853","1,634"
"Knife or Cutting Instrument","462","529"
"Other Weapon","2,193","2,506"
"Hands  Fists  Feet","698","1,079"
"Property Crimes","63,861","69,271"
"Burglary","6,915","7,910"
"Means of Entry","",""
"Forcible Entry","4,935","5,630"
"No Force","1,980","2,280"
"Location / Time","",""
"Residence","3,846","2,708"
"Night","957","1,054"
"Day","1,859","1,075"
"Unknown","1,030","579"
"Non-Residence","3,069","5,202"
"Night","1,275","3,076"
"Day","845","1,341"
"Unknown","949","785"
"Motor Vehicle Theft","12,606","16,672"
"Automotive","11,174","13,564"
"Trucks and Buses","992","1,798"
"Other","440","1,310"
"Larceny-Theft","44,340","44,689"
"Type","",""
"Pocket-Picking","852","612"
"Purse-Snatching","396","312"
"Shoplifting","3,650","4,149"
"From Motor Vehicle","21,861","19,250"
"Motor Vehicle Accessories","3,698","9,816"
"Bicycles","2,032","1,264"
"From Building","1,926","1,380"
"Coin Operated Machine","39","62"
"Other","9,886","7,844"
"Value","",""
"Over $400","20,405","null"
"Over $200","0","28,615"
"$200 through $400","4,882","null"
"$50 through $199","6,017","3,584"
"Under $50","13,036","12,490"
"Arson","439","463"
"Structural Property","207","222"
"Mobile Property","162","119"
"Other Property","70","122"
