" ","2017","2022"
"Crimes","",""
"Violent Crimes","13","11"
"Homicide","0","0"
"Rape (Forcible Rape prior to 2014)","0","4"
"Rape","0","4"
"Attempted Rape","0","0"
"Robbery","0","0"
"Weapon","",""
"Firearm","0","0"
"Knife or Cutting Instrument","0","0"
"Other Weapon","0","0"
"Strong-Arm","0","0"
"Location","",""
"Highway","0","0"
"Commercial","0","0"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","0","0"
"Bank","0","0"
"Miscellaneous","0","0"
"Aggravated Assault","13","7"
"Weapon","",""
"Firearm","1","0"
"Knife or Cutting Instrument","1","0"
"Other Weapon","3","0"
"Hands  Fists  Feet","8","7"
"Property Crimes","32","25"
"Burglary","8","12"
"Means of Entry","",""
"Forcible Entry","5","8"
"No Force","3","4"
"Location / Time","",""
"Residence","3","5"
"Night","1","1"
"Day","0","2"
"Unknown","2","2"
"Non-Residence","5","7"
"Night","1","1"
"Day","0","1"
"Unknown","4","5"
"Motor Vehicle Theft","2","0"
"Automotive","1","0"
"Trucks and Buses","0","0"
"Other","1","0"
"Larceny-Theft","22","13"
"Type","",""
"Pocket-Picking","0","0"
"Purse-Snatching","0","0"
"Shoplifting","0","0"
"From Motor Vehicle","9","1"
"Motor Vehicle Accessories","2","0"
"Bicycles","0","0"
"From Building","2","1"
"Coin Operated Machine","0","0"
"Other","9","11"
"Value","",""
"Over $400","11","null"
"Over $200","0","10"
"$200 through $400","5","null"
"$50 through $199","1","0"
"Under $50","5","3"
"Arson","0","0"
"Structural Property","0","0"
"Mobile Property","0","0"
"Other Property","0","0"
