" ","2017","2022"
"Crimes","",""
"Violent Crimes","921","1,291"
"Homicide","7","11"
"Rape (Forcible Rape prior to 2014)","182","183"
"Rape","154","150"
"Attempted Rape","28","33"
"Robbery","143","121"
"Weapon","",""
"Firearm","33","15"
"Knife or Cutting Instrument","16","14"
"Other Weapon","19","12"
"Strong-Arm","75","80"
"Location","",""
"Highway","40","30"
"Commercial","19","8"
"Gas Station","5","6"
"Convenience Store","2","8"
"Residence","32","23"
"Bank","4","2"
"Miscellaneous","41","44"
"Aggravated Assault","589","976"
"Weapon","",""
"Firearm","52","147"
"Knife or Cutting Instrument","59","69"
"Other Weapon","137","325"
"Hands  Fists  Feet","341","435"
"Property Crimes","7,280","3,949"
"Burglary","1,599","663"
"Means of Entry","",""
"Forcible Entry","908","254"
"No Force","691","409"
"Location / Time","",""
"Residence","1,048","381"
"Night","249","118"
"Day","550","197"
"Unknown","249","66"
"Non-Residence","551","282"
"Night","174","98"
"Day","265","156"
"Unknown","112","28"
"Motor Vehicle Theft","941","739"
"Automotive","703","492"
"Trucks and Buses","151","145"
"Other","87","102"
"Larceny-Theft","4,740","2,547"
"Type","",""
"Pocket-Picking","5","17"
"Purse-Snatching","14","9"
"Shoplifting","658","296"
"From Motor Vehicle","1,333","862"
"Motor Vehicle Accessories","274","249"
"Bicycles","489","143"
"From Building","440","114"
"Coin Operated Machine","7","10"
"Other","1,520","847"
"Value","",""
"Over $400","1,503","null"
"Over $200","0","1,450"
"$200 through $400","794","null"
"$50 through $199","1,108","358"
"Under $50","1,335","739"
"Arson","174","85"
"Structural Property","145","27"
"Mobile Property","4","6"
"Other Property","25","52"
