" ","2017","2022"
"Crimes","",""
"Violent Crimes","208","257"
"Homicide","2","1"
"Rape (Forcible Rape prior to 2014)","30","28"
"Rape","28","25"
"Attempted Rape","2","3"
"Robbery","17","14"
"Weapon","",""
"Firearm","6","3"
"Knife or Cutting Instrument","1","2"
"Other Weapon","1","1"
"Strong-Arm","9","8"
"Location","",""
"Highway","6","2"
"Commercial","1","1"
"Gas Station","0","0"
"Convenience Store","0","2"
"Residence","9","5"
"Bank","0","0"
"Miscellaneous","1","4"
"Aggravated Assault","159","214"
"Weapon","",""
"Firearm","20","51"
"Knife or Cutting Instrument","18","11"
"Other Weapon","47","70"
"Hands  Fists  Feet","74","82"
"Property Crimes","790","676"
"Burglary","228","183"
"Means of Entry","",""
"Forcible Entry","140","53"
"No Force","88","130"
"Location / Time","",""
"Residence","118","85"
"Night","28","23"
"Day","39","37"
"Unknown","51","25"
"Non-Residence","110","98"
"Night","41","33"
"Day","39","43"
"Unknown","30","22"
"Motor Vehicle Theft","99","64"
"Automotive","42","27"
"Trucks and Buses","35","31"
"Other","22","6"
"Larceny-Theft","463","429"
"Type","",""
"Pocket-Picking","1","2"
"Purse-Snatching","7","1"
"Shoplifting","35","35"
"From Motor Vehicle","85","93"
"Motor Vehicle Accessories","58","56"
"Bicycles","8","2"
"From Building","57","53"
"Coin Operated Machine","1","1"
"Other","211","186"
"Value","",""
"Over $400","148","null"
"Over $200","0","231"
"$200 through $400","66","null"
"$50 through $199","64","69"
"Under $50","185","129"
"Arson","0","2"
"Structural Property","0","1"
"Mobile Property","0","1"
"Other Property","0","0"
