" ","2017","2022"
"Crimes","",""
"Violent Crimes","78","65"
"Homicide","1","0"
"Rape (Forcible Rape prior to 2014)","13","19"
"Rape","12","18"
"Attempted Rape","1","1"
"Robbery","9","4"
"Weapon","",""
"Firearm","1","0"
"Knife or Cutting Instrument","1","1"
"Other Weapon","0","0"
"Strong-Arm","7","3"
"Location","",""
"Highway","3","2"
"Commercial","0","0"
"Gas Station","2","0"
"Convenience Store","0","0"
"Residence","3","1"
"Bank","0","1"
"Miscellaneous","1","0"
"Aggravated Assault","55","42"
"Weapon","",""
"Firearm","2","7"
"Knife or Cutting Instrument","2","5"
"Other Weapon","5","16"
"Hands  Fists  Feet","46","14"
"Property Crimes","339","361"
"Burglary","121","101"
"Means of Entry","",""
"Forcible Entry","83","62"
"No Force","38","39"
"Location / Time","",""
"Residence","53","50"
"Night","17","10"
"Day","27","34"
"Unknown","9","6"
"Non-Residence","68","51"
"Night","28","15"
"Day","30","28"
"Unknown","10","8"
"Motor Vehicle Theft","39","41"
"Automotive","20","28"
"Trucks and Buses","4","4"
"Other","15","9"
"Larceny-Theft","179","219"
"Type","",""
"Pocket-Picking","0","0"
"Purse-Snatching","2","1"
"Shoplifting","4","11"
"From Motor Vehicle","71","61"
"Motor Vehicle Accessories","8","28"
"Bicycles","2","4"
"From Building","12","14"
"Coin Operated Machine","1","0"
"Other","79","100"
"Value","",""
"Over $400","88","null"
"Over $200","0","152"
"$200 through $400","25","null"
"$50 through $199","28","37"
"Under $50","38","30"
"Arson","4","4"
"Structural Property","2","2"
"Mobile Property","0","0"
"Other Property","2","2"
