" ","2017","2022"
"Crimes","",""
"Violent Crimes","3,830","4,674"
"Homicide","42","44"
"Rape (Forcible Rape prior to 2014)","294","297"
"Rape","274","276"
"Attempted Rape","20","21"
"Robbery","1,500","1,146"
"Weapon","",""
"Firearm","537","384"
"Knife or Cutting Instrument","89","76"
"Other Weapon","127","252"
"Strong-Arm","747","434"
"Location","",""
"Highway","347","248"
"Commercial","267","322"
"Gas Station","44","42"
"Convenience Store","111","84"
"Residence","118","164"
"Bank","31","31"
"Miscellaneous","582","255"
"Aggravated Assault","1,994","3,187"
"Weapon","",""
"Firearm","409","788"
"Knife or Cutting Instrument","236","403"
"Other Weapon","760","1,127"
"Hands  Fists  Feet","589","869"
"Property Crimes","29,735","24,088"
"Burglary","4,171","3,266"
"Means of Entry","",""
"Forcible Entry","2,928","2,139"
"No Force","1,243","1,127"
"Location / Time","",""
"Residence","2,284","1,227"
"Night","659","489"
"Day","1,065","579"
"Unknown","560","159"
"Non-Residence","1,887","2,039"
"Night","910","1,118"
"Day","510","710"
"Unknown","467","211"
"Motor Vehicle Theft","5,836","4,724"
"Automotive","4,829","2,482"
"Trucks and Buses","745","1,666"
"Other","262","576"
"Larceny-Theft","19,728","16,098"
"Type","",""
"Pocket-Picking","126","178"
"Purse-Snatching","105","66"
"Shoplifting","3,593","2,690"
"From Motor Vehicle","8,759","5,086"
"Motor Vehicle Accessories","1,194","3,658"
"Bicycles","598","432"
"From Building","1,553","794"
"Coin Operated Machine","26","6"
"Other","3,774","3,188"
"Value","",""
"Over $400","8,111","null"
"Over $200","0","10,500"
"$200 through $400","2,636","null"
"$50 through $199","3,759","2,153"
"Under $50","5,222","3,445"
"Arson","232","231"
"Structural Property","76","47"
"Mobile Property","96","45"
"Other Property","60","139"
