" ","2017","2022"
"Crimes","",""
"Violent Crimes","151","175"
"Homicide","4","3"
"Rape (Forcible Rape prior to 2014)","29","26"
"Rape","29","25"
"Attempted Rape","0","1"
"Robbery","23","16"
"Weapon","",""
"Firearm","1","1"
"Knife or Cutting Instrument","4","0"
"Other Weapon","1","2"
"Strong-Arm","17","13"
"Location","",""
"Highway","5","0"
"Commercial","2","5"
"Gas Station","0","0"
"Convenience Store","0","1"
"Residence","2","0"
"Bank","0","1"
"Miscellaneous","14","9"
"Aggravated Assault","95","130"
"Weapon","",""
"Firearm","2","5"
"Knife or Cutting Instrument","1","9"
"Other Weapon","17","26"
"Hands  Fists  Feet","75","90"
"Property Crimes","692","637"
"Burglary","221","126"
"Means of Entry","",""
"Forcible Entry","211","103"
"No Force","10","23"
"Location / Time","",""
"Residence","28","14"
"Night","5","4"
"Day","20","6"
"Unknown","3","4"
"Non-Residence","193","112"
"Night","47","40"
"Day","145","72"
"Unknown","1","0"
"Motor Vehicle Theft","96","76"
"Automotive","44","25"
"Trucks and Buses","30","37"
"Other","22","14"
"Larceny-Theft","375","435"
"Type","",""
"Pocket-Picking","0","0"
"Purse-Snatching","3","1"
"Shoplifting","62","192"
"From Motor Vehicle","53","60"
"Motor Vehicle Accessories","15","16"
"Bicycles","15","18"
"From Building","30","38"
"Coin Operated Machine","4","0"
"Other","193","110"
"Value","",""
"Over $400","88","null"
"Over $200","0","146"
"$200 through $400","51","null"
"$50 through $199","63","92"
"Under $50","173","197"
"Arson","19","26"
"Structural Property","5","4"
"Mobile Property","8","1"
"Other Property","6","21"
