" ","2017","2022"
"Crimes","",""
"Violent Crimes","294","526"
"Homicide","5","11"
"Rape (Forcible Rape prior to 2014)","55","122"
"Rape","52","115"
"Attempted Rape","3","7"
"Robbery","36","53"
"Weapon","",""
"Firearm","7","4"
"Knife or Cutting Instrument","4","2"
"Other Weapon","1","7"
"Strong-Arm","24","40"
"Location","",""
"Highway","1","7"
"Commercial","4","9"
"Gas Station","1","0"
"Convenience Store","9","2"
"Residence","5","9"
"Bank","2","1"
"Miscellaneous","14","25"
"Aggravated Assault","198","340"
"Weapon","",""
"Firearm","11","32"
"Knife or Cutting Instrument","25","51"
"Other Weapon","88","127"
"Hands  Fists  Feet","74","130"
"Property Crimes","2,934","2,059"
"Burglary","711","404"
"Means of Entry","",""
"Forcible Entry","444","167"
"No Force","267","237"
"Location / Time","",""
"Residence","400","187"
"Night","127","64"
"Day","84","80"
"Unknown","189","43"
"Non-Residence","311","217"
"Night","193","116"
"Day","32","76"
"Unknown","86","25"
"Motor Vehicle Theft","238","223"
"Automotive","156","114"
"Trucks and Buses","36","72"
"Other","46","37"
"Larceny-Theft","1,985","1,432"
"Type","",""
"Pocket-Picking","9","6"
"Purse-Snatching","15","15"
"Shoplifting","233","142"
"From Motor Vehicle","561","317"
"Motor Vehicle Accessories","124","224"
"Bicycles","72","41"
"From Building","177","149"
"Coin Operated Machine","4","1"
"Other","790","537"
"Value","",""
"Over $400","802","null"
"Over $200","0","889"
"$200 through $400","286","null"
"$50 through $199","331","180"
"Under $50","566","363"
"Arson","5","16"
"Structural Property","0","4"
"Mobile Property","0","2"
"Other Property","5","10"
