" ","2017","2022"
"Crimes","",""
"Violent Crimes","5,745","7,299"
"Homicide","85","83"
"Rape (Forcible Rape prior to 2014)","336","371"
"Rape","319","353"
"Attempted Rape","17","18"
"Robbery","1,214","1,264"
"Weapon","",""
"Firearm","386","288"
"Knife or Cutting Instrument","104","90"
"Other Weapon","117","207"
"Strong-Arm","607","679"
"Location","",""
"Highway","563","324"
"Commercial","206","223"
"Gas Station","34","31"
"Convenience Store","80","105"
"Residence","162","299"
"Bank","8","13"
"Miscellaneous","161","269"
"Aggravated Assault","4,110","5,581"
"Weapon","",""
"Firearm","1,099","1,346"
"Knife or Cutting Instrument","578","402"
"Other Weapon","1,199","1,391"
"Hands  Fists  Feet","1,234","2,442"
"Property Crimes","30,354","28,167"
"Burglary","6,757","5,887"
"Means of Entry","",""
"Forcible Entry","5,100","4,920"
"No Force","1,657","967"
"Location / Time","",""
"Residence","3,999","2,330"
"Night","1,300","1,037"
"Day","1,868","1,253"
"Unknown","831","40"
"Non-Residence","2,758","3,557"
"Night","1,547","2,092"
"Day","794","1,421"
"Unknown","417","44"
"Motor Vehicle Theft","4,385","4,933"
"Automotive","3,341","3,297"
"Trucks and Buses","677","1,086"
"Other","367","550"
"Larceny-Theft","19,212","17,347"
"Type","",""
"Pocket-Picking","41","84"
"Purse-Snatching","34","76"
"Shoplifting","2,646","2,750"
"From Motor Vehicle","6,929","4,702"
"Motor Vehicle Accessories","2,471","2,926"
"Bicycles","711","306"
"From Building","1,570","816"
"Coin Operated Machine","34","28"
"Other","4,776","5,659"
"Value","",""
"Over $400","6,347","null"
"Over $200","0","10,804"
"$200 through $400","2,370","null"
"$50 through $199","4,298","2,643"
"Under $50","6,197","3,900"
"Arson","524","488"
"Structural Property","136","149"
"Mobile Property","181","82"
"Other Property","207","257"
