" ","2017","2022"
"Crimes","",""
"Violent Crimes","117","118"
"Homicide","1","0"
"Rape (Forcible Rape prior to 2014)","9","5"
"Rape","9","5"
"Attempted Rape","0","0"
"Robbery","8","4"
"Weapon","",""
"Firearm","0","1"
"Knife or Cutting Instrument","0","0"
"Other Weapon","0","0"
"Strong-Arm","8","3"
"Location","",""
"Highway","1","1"
"Commercial","0","0"
"Gas Station","0","0"
"Convenience Store","2","1"
"Residence","5","1"
"Bank","0","0"
"Miscellaneous","0","1"
"Aggravated Assault","99","109"
"Weapon","",""
"Firearm","4","4"
"Knife or Cutting Instrument","7","5"
"Other Weapon","5","25"
"Hands  Fists  Feet","83","75"
"Property Crimes","503","300"
"Burglary","151","50"
"Means of Entry","",""
"Forcible Entry","132","25"
"No Force","19","25"
"Location / Time","",""
"Residence","79","18"
"Night","16","9"
"Day","56","7"
"Unknown","7","2"
"Non-Residence","72","32"
"Night","33","8"
"Day","33","23"
"Unknown","6","1"
"Motor Vehicle Theft","90","62"
"Automotive","44","36"
"Trucks and Buses","18","12"
"Other","28","14"
"Larceny-Theft","262","188"
"Type","",""
"Pocket-Picking","0","4"
"Purse-Snatching","0","3"
"Shoplifting","27","20"
"From Motor Vehicle","30","37"
"Motor Vehicle Accessories","7","25"
"Bicycles","8","2"
"From Building","10","13"
"Coin Operated Machine","0","1"
"Other","180","83"
"Value","",""
"Over $400","95","null"
"Over $200","0","118"
"$200 through $400","26","null"
"$50 through $199","59","29"
"Under $50","82","41"
"Arson","5","7"
"Structural Property","3","1"
"Mobile Property","0","3"
"Other Property","2","3"
