" ","2017","2022"
"Crimes","",""
"Violent Crimes","646","639"
"Homicide","8","7"
"Rape (Forcible Rape prior to 2014)","74","80"
"Rape","70","79"
"Attempted Rape","4","1"
"Robbery","172","138"
"Weapon","",""
"Firearm","57","16"
"Knife or Cutting Instrument","21","13"
"Other Weapon","29","27"
"Strong-Arm","65","82"
"Location","",""
"Highway","45","34"
"Commercial","22","45"
"Gas Station","21","9"
"Convenience Store","4","5"
"Residence","29","18"
"Bank","2","1"
"Miscellaneous","49","26"
"Aggravated Assault","392","414"
"Weapon","",""
"Firearm","58","44"
"Knife or Cutting Instrument","65","42"
"Other Weapon","211","185"
"Hands  Fists  Feet","58","143"
"Property Crimes","4,196","3,035"
"Burglary","874","575"
"Means of Entry","",""
"Forcible Entry","527","249"
"No Force","347","326"
"Location / Time","",""
"Residence","481","257"
"Night","135","88"
"Day","243","116"
"Unknown","103","53"
"Non-Residence","393","318"
"Night","140","145"
"Day","174","145"
"Unknown","79","28"
"Motor Vehicle Theft","827","592"
"Automotive","641","339"
"Trucks and Buses","128","188"
"Other","58","65"
"Larceny-Theft","2,495","1,868"
"Type","",""
"Pocket-Picking","10","5"
"Purse-Snatching","11","20"
"Shoplifting","547","359"
"From Motor Vehicle","806","587"
"Motor Vehicle Accessories","111","194"
"Bicycles","194","148"
"From Building","154","173"
"Coin Operated Machine","2","1"
"Other","660","381"
"Value","",""
"Over $400","783","null"
"Over $200","0","1,068"
"$200 through $400","396","null"
"$50 through $199","563","309"
"Under $50","753","491"
"Arson","65","63"
"Structural Property","43","28"
"Mobile Property","6","8"
"Other Property","16","27"
