" ","2017","2022"
"Crimes","",""
"Violent Crimes","628","527"
"Homicide","7","11"
"Rape (Forcible Rape prior to 2014)","45","49"
"Rape","33","45"
"Attempted Rape","12","4"
"Robbery","87","69"
"Weapon","",""
"Firearm","8","9"
"Knife or Cutting Instrument","11","15"
"Other Weapon","7","13"
"Strong-Arm","61","32"
"Location","",""
"Highway","32","22"
"Commercial","8","9"
"Gas Station","5","7"
"Convenience Store","1","6"
"Residence","3","6"
"Bank","2","0"
"Miscellaneous","36","19"
"Aggravated Assault","489","398"
"Weapon","",""
"Firearm","39","56"
"Knife or Cutting Instrument","30","38"
"Other Weapon","158","165"
"Hands  Fists  Feet","262","139"
"Property Crimes","4,836","2,982"
"Burglary","1,293","616"
"Means of Entry","",""
"Forcible Entry","840","399"
"No Force","453","217"
"Location / Time","",""
"Residence","501","188"
"Night","123","64"
"Day","203","110"
"Unknown","175","14"
"Non-Residence","792","428"
"Night","246","163"
"Day","253","206"
"Unknown","293","59"
"Motor Vehicle Theft","526","582"
"Automotive","409","379"
"Trucks and Buses","53","115"
"Other","64","88"
"Larceny-Theft","3,017","1,784"
"Type","",""
"Pocket-Picking","5","0"
"Purse-Snatching","59","9"
"Shoplifting","587","373"
"From Motor Vehicle","483","312"
"Motor Vehicle Accessories","163","166"
"Bicycles","172","47"
"From Building","72","83"
"Coin Operated Machine","2","0"
"Other","1,474","794"
"Value","",""
"Over $400","569","null"
"Over $200","0","721"
"$200 through $400","308","null"
"$50 through $199","527","280"
"Under $50","1,613","783"
"Arson","80","151"
"Structural Property","22","31"
"Mobile Property","13","7"
"Other Property","45","113"
