" ","2017","2022"
"Crimes","",""
"Violent Crimes","128","129"
"Homicide","0","1"
"Rape (Forcible Rape prior to 2014)","16","14"
"Rape","16","14"
"Attempted Rape","0","0"
"Robbery","11","10"
"Weapon","",""
"Firearm","1","0"
"Knife or Cutting Instrument","0","1"
"Other Weapon","0","2"
"Strong-Arm","10","7"
"Location","",""
"Highway","3","2"
"Commercial","1","1"
"Gas Station","0","1"
"Convenience Store","0","1"
"Residence","7","2"
"Bank","0","0"
"Miscellaneous","0","3"
"Aggravated Assault","101","104"
"Weapon","",""
"Firearm","7","12"
"Knife or Cutting Instrument","15","10"
"Other Weapon","25","32"
"Hands  Fists  Feet","54","50"
"Property Crimes","514","340"
"Burglary","131","66"
"Means of Entry","",""
"Forcible Entry","58","35"
"No Force","73","31"
"Location / Time","",""
"Residence","65","25"
"Night","12","4"
"Day","37","14"
"Unknown","16","7"
"Non-Residence","66","41"
"Night","27","8"
"Day","30","21"
"Unknown","9","12"
"Motor Vehicle Theft","56","33"
"Automotive","42","14"
"Trucks and Buses","4","13"
"Other","10","6"
"Larceny-Theft","327","241"
"Type","",""
"Pocket-Picking","3","1"
"Purse-Snatching","3","0"
"Shoplifting","57","29"
"From Motor Vehicle","41","38"
"Motor Vehicle Accessories","10","15"
"Bicycles","50","28"
"From Building","61","40"
"Coin Operated Machine","2","1"
"Other","100","89"
"Value","",""
"Over $400","102","null"
"Over $200","0","135"
"$200 through $400","62","null"
"$50 through $199","67","35"
"Under $50","96","71"
"Arson","3","3"
"Structural Property","2","2"
"Mobile Property","1","0"
"Other Property","0","1"
