" ","2017","2022"
"Crimes","",""
"Violent Crimes","4,989","6,687"
"Homicide","89","101"
"Rape (Forcible Rape prior to 2014)","307","293"
"Rape","287","281"
"Attempted Rape","20","12"
"Robbery","1,297","1,276"
"Weapon","",""
"Firearm","358","371"
"Knife or Cutting Instrument","147","157"
"Other Weapon","137","182"
"Strong-Arm","655","566"
"Location","",""
"Highway","386","304"
"Commercial","238","236"
"Gas Station","43","82"
"Convenience Store","117","154"
"Residence","143","170"
"Bank","10","5"
"Miscellaneous","360","325"
"Aggravated Assault","3,296","5,017"
"Weapon","",""
"Firearm","523","945"
"Knife or Cutting Instrument","489","610"
"Other Weapon","1,051","1,559"
"Hands  Fists  Feet","1,233","1,903"
"Property Crimes","28,933","29,542"
"Burglary","7,429","6,444"
"Means of Entry","",""
"Forcible Entry","5,085","5,189"
"No Force","2,344","1,255"
"Location / Time","",""
"Residence","3,459","1,791"
"Night","844","510"
"Day","1,392","703"
"Unknown","1,223","578"
"Non-Residence","3,970","4,653"
"Night","1,682","1,577"
"Day","794","798"
"Unknown","1,494","2,278"
"Motor Vehicle Theft","5,899","9,061"
"Automotive","4,278","5,124"
"Trucks and Buses","1,204","2,958"
"Other","417","979"
"Larceny-Theft","15,605","14,037"
"Type","",""
"Pocket-Picking","101","115"
"Purse-Snatching","54","36"
"Shoplifting","2,331","2,529"
"From Motor Vehicle","6,089","3,486"
"Motor Vehicle Accessories","1,523","1,869"
"Bicycles","392","196"
"From Building","833","527"
"Coin Operated Machine","97","15"
"Other","4,185","5,264"
"Value","",""
"Over $400","5,829","null"
"Over $200","0","9,244"
"$200 through $400","2,159","null"
"$50 through $199","2,845","1,709"
"Under $50","4,772","3,084"
"Arson","692","424"
"Structural Property","316","113"
"Mobile Property","224","205"
"Other Property","152","106"
