" ","2017","2022"
"Crimes","",""
"Violent Crimes","754","647"
"Homicide","9","16"
"Rape (Forcible Rape prior to 2014)","88","68"
"Rape","78","67"
"Attempted Rape","10","1"
"Robbery","104","60"
"Weapon","",""
"Firearm","23","19"
"Knife or Cutting Instrument","10","2"
"Other Weapon","9","12"
"Strong-Arm","62","27"
"Location","",""
"Highway","30","15"
"Commercial","19","10"
"Gas Station","9","1"
"Convenience Store","8","6"
"Residence","18","13"
"Bank","2","1"
"Miscellaneous","18","14"
"Aggravated Assault","553","503"
"Weapon","",""
"Firearm","44","123"
"Knife or Cutting Instrument","54","57"
"Other Weapon","140","169"
"Hands  Fists  Feet","315","154"
"Property Crimes","2,935","2,110"
"Burglary","620","334"
"Means of Entry","",""
"Forcible Entry","361","123"
"No Force","259","211"
"Location / Time","",""
"Residence","417","187"
"Night","110","72"
"Day","171","99"
"Unknown","136","16"
"Non-Residence","203","147"
"Night","59","70"
"Day","67","67"
"Unknown","77","10"
"Motor Vehicle Theft","529","449"
"Automotive","290","276"
"Trucks and Buses","156","93"
"Other","83","80"
"Larceny-Theft","1,786","1,327"
"Type","",""
"Pocket-Picking","2","7"
"Purse-Snatching","11","6"
"Shoplifting","308","170"
"From Motor Vehicle","506","326"
"Motor Vehicle Accessories","134","235"
"Bicycles","53","28"
"From Building","254","82"
"Coin Operated Machine","4","2"
"Other","514","471"
"Value","",""
"Over $400","584","null"
"Over $200","0","862"
"$200 through $400","263","null"
"$50 through $199","427","196"
"Under $50","512","269"
"Arson","31","18"
"Structural Property","25","3"
"Mobile Property","2","3"
"Other Property","4","12"
