" ","2017","2022"
"Crimes","",""
"Violent Crimes","396","478"
"Homicide","7","1"
"Rape (Forcible Rape prior to 2014)","46","55"
"Rape","41","52"
"Attempted Rape","5","3"
"Robbery","53","40"
"Weapon","",""
"Firearm","11","6"
"Knife or Cutting Instrument","9","4"
"Other Weapon","6","4"
"Strong-Arm","27","26"
"Location","",""
"Highway","19","7"
"Commercial","4","5"
"Gas Station","0","1"
"Convenience Store","2","2"
"Residence","16","13"
"Bank","0","0"
"Miscellaneous","12","12"
"Aggravated Assault","290","382"
"Weapon","",""
"Firearm","32","61"
"Knife or Cutting Instrument","37","29"
"Other Weapon","85","190"
"Hands  Fists  Feet","136","102"
"Property Crimes","1,628","1,170"
"Burglary","557","297"
"Means of Entry","",""
"Forcible Entry","253","91"
"No Force","304","206"
"Location / Time","",""
"Residence","338","173"
"Night","71","64"
"Day","150","89"
"Unknown","117","20"
"Non-Residence","219","124"
"Night","76","51"
"Day","89","52"
"Unknown","54","21"
"Motor Vehicle Theft","330","256"
"Automotive","182","127"
"Trucks and Buses","76","82"
"Other","72","47"
"Larceny-Theft","741","617"
"Type","",""
"Pocket-Picking","8","3"
"Purse-Snatching","8","9"
"Shoplifting","109","81"
"From Motor Vehicle","101","125"
"Motor Vehicle Accessories","53","102"
"Bicycles","10","7"
"From Building","108","48"
"Coin Operated Machine","3","2"
"Other","341","240"
"Value","",""
"Over $400","255","null"
"Over $200","0","372"
"$200 through $400","106","null"
"$50 through $199","108","91"
"Under $50","272","154"
"Arson","31","16"
"Structural Property","31","4"
"Mobile Property","0","2"
"Other Property","0","10"
