" ","2017","2022"
"Crimes","",""
"Violent Crimes","270","143"
"Homicide","1","3"
"Rape (Forcible Rape prior to 2014)","15","14"
"Rape","15","14"
"Attempted Rape","0","0"
"Robbery","13","12"
"Weapon","",""
"Firearm","5","5"
"Knife or Cutting Instrument","1","2"
"Other Weapon","2","3"
"Strong-Arm","5","2"
"Location","",""
"Highway","0","0"
"Commercial","0","3"
"Gas Station","0","0"
"Convenience Store","0","2"
"Residence","5","1"
"Bank","0","0"
"Miscellaneous","8","6"
"Aggravated Assault","241","114"
"Weapon","",""
"Firearm","7","19"
"Knife or Cutting Instrument","15","13"
"Other Weapon","81","49"
"Hands  Fists  Feet","138","33"
"Property Crimes","598","447"
"Burglary","209","164"
"Means of Entry","",""
"Forcible Entry","121","51"
"No Force","88","113"
"Location / Time","",""
"Residence","125","57"
"Night","7","25"
"Day","15","21"
"Unknown","103","11"
"Non-Residence","84","107"
"Night","6","50"
"Day","5","41"
"Unknown","73","16"
"Motor Vehicle Theft","63","53"
"Automotive","47","22"
"Trucks and Buses","6","23"
"Other","10","8"
"Larceny-Theft","326","230"
"Type","",""
"Pocket-Picking","0","2"
"Purse-Snatching","1","1"
"Shoplifting","43","28"
"From Motor Vehicle","84","66"
"Motor Vehicle Accessories","13","23"
"Bicycles","11","7"
"From Building","63","20"
"Coin Operated Machine","2","1"
"Other","109","82"
"Value","",""
"Over $400","90","null"
"Over $200","0","112"
"$200 through $400","49","null"
"$50 through $199","79","39"
"Under $50","108","79"
"Arson","10","6"
"Structural Property","6","1"
"Mobile Property","0","1"
"Other Property","4","4"
