" ","2017","2022"
"Crimes","",""
"Violent Crimes","59,924","61,016"
"Homicide","580","739"
"Rape (Forcible Rape prior to 2014)","4,302","3,869"
"Rape","4,060","3,692"
"Attempted Rape","242","177"
"Robbery","21,089","17,438"
"Weapon","",""
"Firearm","5,457","5,320"
"Knife or Cutting Instrument","1,937","1,709"
"Other Weapon","2,439","2,552"
"Strong-Arm","11,256","7,857"
"Location","",""
"Highway","10,502","7,353"
"Commercial","4,561","4,512"
"Gas Station","384","454"
"Convenience Store","788","903"
"Residence","1,198","1,054"
"Bank","174","119"
"Miscellaneous","3,482","3,043"
"Aggravated Assault","33,953","38,970"
"Weapon","",""
"Firearm","7,415","10,685"
"Knife or Cutting Instrument","6,570","7,547"
"Other Weapon","10,494","11,481"
"Hands  Fists  Feet","9,474","9,257"
"Property Crimes","248,714","244,083"
"Burglary","46,972","39,799"
"Means of Entry","",""
"Forcible Entry","34,817","30,906"
"No Force","12,155","8,893"
"Location / Time","",""
"Residence","26,540","16,062"
"Night","6,982","5,652"
"Day","11,449","6,720"
"Unknown","8,109","3,690"
"Non-Residence","20,432","23,737"
"Night","9,205","12,375"
"Day","4,856","6,751"
"Unknown","6,371","4,611"
"Motor Vehicle Theft","47,406","57,872"
"Automotive","32,917","33,824"
"Trucks and Buses","11,810","19,280"
"Other","2,679","4,768"
"Larceny-Theft","154,336","146,412"
"Type","",""
"Pocket-Picking","817","2,469"
"Purse-Snatching","606","308"
"Shoplifting","22,037","21,217"
"From Motor Vehicle","55,252","39,718"
"Motor Vehicle Accessories","19,903","34,976"
"Bicycles","5,962","4,347"
"From Building","24,165","19,187"
"Coin Operated Machine","410","155"
"Other","25,184","24,035"
"Value","",""
"Over $400","66,896","null"
"Over $200","0","98,796"
"$200 through $400","21,733","null"
"$50 through $199","25,694","15,692"
"Under $50","40,013","31,924"
"Arson","2,529","3,203"
"Structural Property","602","809"
"Mobile Property","545","437"
"Other Property","1,382","1,957"
