" ","2017","2022"
"Crimes","",""
"Violent Crimes","891","818"
"Homicide","7","6"
"Rape (Forcible Rape prior to 2014)","56","85"
"Rape","48","78"
"Attempted Rape","8","7"
"Robbery","145","85"
"Weapon","",""
"Firearm","45","28"
"Knife or Cutting Instrument","8","5"
"Other Weapon","10","14"
"Strong-Arm","82","38"
"Location","",""
"Highway","13","30"
"Commercial","17","10"
"Gas Station","4","7"
"Convenience Store","16","7"
"Residence","17","14"
"Bank","1","1"
"Miscellaneous","77","16"
"Aggravated Assault","683","642"
"Weapon","",""
"Firearm","71","95"
"Knife or Cutting Instrument","56","54"
"Other Weapon","140","267"
"Hands  Fists  Feet","416","226"
"Property Crimes","3,484","2,305"
"Burglary","941","373"
"Means of Entry","",""
"Forcible Entry","639","256"
"No Force","302","117"
"Location / Time","",""
"Residence","533","181"
"Night","149","69"
"Day","194","108"
"Unknown","190","4"
"Non-Residence","408","192"
"Night","227","87"
"Day","88","101"
"Unknown","93","4"
"Motor Vehicle Theft","713","364"
"Automotive","585","295"
"Trucks and Buses","68","34"
"Other","60","35"
"Larceny-Theft","1,830","1,568"
"Type","",""
"Pocket-Picking","7","20"
"Purse-Snatching","13","3"
"Shoplifting","211","187"
"From Motor Vehicle","461","319"
"Motor Vehicle Accessories","70","192"
"Bicycles","73","38"
"From Building","241","81"
"Coin Operated Machine","13","2"
"Other","741","726"
"Value","",""
"Over $400","598","null"
"Over $200","0","1,072"
"$200 through $400","278","null"
"$50 through $199","384","209"
"Under $50","570","287"
"Arson","32","38"
"Structural Property","9","8"
"Mobile Property","8","6"
"Other Property","15","24"
