" ","2017","2022"
"Crimes","",""
"Violent Crimes","463","610"
"Homicide","4","5"
"Rape (Forcible Rape prior to 2014)","46","82"
"Rape","43","78"
"Attempted Rape","3","4"
"Robbery","149","106"
"Weapon","",""
"Firearm","22","20"
"Knife or Cutting Instrument","13","12"
"Other Weapon","14","16"
"Strong-Arm","100","58"
"Location","",""
"Highway","53","33"
"Commercial","31","27"
"Gas Station","5","1"
"Convenience Store","4","5"
"Residence","11","5"
"Bank","4","2"
"Miscellaneous","41","33"
"Aggravated Assault","264","417"
"Weapon","",""
"Firearm","12","20"
"Knife or Cutting Instrument","45","59"
"Other Weapon","113","189"
"Hands  Fists  Feet","94","149"
"Property Crimes","5,006","4,443"
"Burglary","941","664"
"Means of Entry","",""
"Forcible Entry","469","316"
"No Force","472","348"
"Location / Time","",""
"Residence","414","255"
"Night","86","99"
"Day","220","123"
"Unknown","108","33"
"Non-Residence","527","409"
"Night","210","160"
"Day","239","213"
"Unknown","78","36"
"Motor Vehicle Theft","475","932"
"Automotive","313","620"
"Trucks and Buses","136","233"
"Other","26","79"
"Larceny-Theft","3,590","2,847"
"Type","",""
"Pocket-Picking","20","34"
"Purse-Snatching","41","21"
"Shoplifting","502","466"
"From Motor Vehicle","1,485","655"
"Motor Vehicle Accessories","154","494"
"Bicycles","310","324"
"From Building","412","135"
"Coin Operated Machine","9","1"
"Other","657","717"
"Value","",""
"Over $400","1,632","null"
"Over $200","0","1,851"
"$200 through $400","479","null"
"$50 through $199","539","288"
"Under $50","940","708"
"Arson","27","39"
"Structural Property","16","11"
"Mobile Property","0","1"
"Other Property","11","27"
