" ","2017","2022"
"Crimes","",""
"Violent Crimes","108","71"
"Homicide","0","1"
"Rape (Forcible Rape prior to 2014)","9","12"
"Rape","9","11"
"Attempted Rape","0","1"
"Robbery","3","3"
"Weapon","",""
"Firearm","1","0"
"Knife or Cutting Instrument","0","0"
"Other Weapon","0","2"
"Strong-Arm","2","1"
"Location","",""
"Highway","1","0"
"Commercial","0","1"
"Gas Station","0","0"
"Convenience Store","0","1"
"Residence","1","0"
"Bank","0","0"
"Miscellaneous","1","1"
"Aggravated Assault","96","55"
"Weapon","",""
"Firearm","2","5"
"Knife or Cutting Instrument","6","7"
"Other Weapon","9","22"
"Hands  Fists  Feet","79","21"
"Property Crimes","290","229"
"Burglary","83","53"
"Means of Entry","",""
"Forcible Entry","42","30"
"No Force","41","23"
"Location / Time","",""
"Residence","57","36"
"Night","6","15"
"Day","10","21"
"Unknown","41","0"
"Non-Residence","26","17"
"Night","10","6"
"Day","1","11"
"Unknown","15","0"
"Motor Vehicle Theft","14","18"
"Automotive","11","9"
"Trucks and Buses","1","4"
"Other","2","5"
"Larceny-Theft","193","158"
"Type","",""
"Pocket-Picking","0","0"
"Purse-Snatching","1","0"
"Shoplifting","19","11"
"From Motor Vehicle","16","10"
"Motor Vehicle Accessories","13","19"
"Bicycles","2","3"
"From Building","32","18"
"Coin Operated Machine","0","0"
"Other","110","97"
"Value","",""
"Over $400","85","null"
"Over $200","0","91"
"$200 through $400","35","null"
"$50 through $199","35","24"
"Under $50","38","43"
"Arson","0","0"
"Structural Property","0","0"
"Mobile Property","0","0"
"Other Property","0","0"
