" ","2017","2022"
"Crimes","",""
"Violent Crimes","480","182"
"Homicide","4","2"
"Rape (Forcible Rape prior to 2014)","51","19"
"Rape","43","19"
"Attempted Rape","8","0"
"Robbery","49","37"
"Weapon","",""
"Firearm","18","4"
"Knife or Cutting Instrument","0","5"
"Other Weapon","2","5"
"Strong-Arm","29","23"
"Location","",""
"Highway","16","7"
"Commercial","9","7"
"Gas Station","2","2"
"Convenience Store","2","3"
"Residence","10","11"
"Bank","1","0"
"Miscellaneous","9","7"
"Aggravated Assault","376","124"
"Weapon","",""
"Firearm","14","3"
"Knife or Cutting Instrument","19","14"
"Other Weapon","101","61"
"Hands  Fists  Feet","242","46"
"Property Crimes","1,274","603"
"Burglary","315","114"
"Means of Entry","",""
"Forcible Entry","178","79"
"No Force","137","35"
"Location / Time","",""
"Residence","134","30"
"Night","41","20"
"Day","40","10"
"Unknown","53","0"
"Non-Residence","181","84"
"Night","84","44"
"Day","33","39"
"Unknown","64","1"
"Motor Vehicle Theft","210","148"
"Automotive","180","79"
"Trucks and Buses","14","45"
"Other","16","24"
"Larceny-Theft","749","341"
"Type","",""
"Pocket-Picking","1","3"
"Purse-Snatching","3","1"
"Shoplifting","234","111"
"From Motor Vehicle","108","55"
"Motor Vehicle Accessories","50","27"
"Bicycles","60","27"
"From Building","63","30"
"Coin Operated Machine","15","0"
"Other","215","87"
"Value","",""
"Over $400","233","null"
"Over $200","0","144"
"$200 through $400","114","null"
"$50 through $199","168","74"
"Under $50","234","123"
"Arson","26","23"
"Structural Property","12","6"
"Mobile Property","2","1"
"Other Property","12","16"
