" ","2017","2022"
"Crimes","",""
"Violent Crimes","1,557","1,904"
"Homicide","19","35"
"Rape (Forcible Rape prior to 2014)","64","191"
"Rape","60","186"
"Attempted Rape","4","5"
"Robbery","274","307"
"Weapon","",""
"Firearm","58","87"
"Knife or Cutting Instrument","32","28"
"Other Weapon","36","52"
"Strong-Arm","148","140"
"Location","",""
"Highway","86","52"
"Commercial","60","85"
"Gas Station","6","9"
"Convenience Store","32","38"
"Residence","37","49"
"Bank","1","3"
"Miscellaneous","52","71"
"Aggravated Assault","1,200","1,371"
"Weapon","",""
"Firearm","158","303"
"Knife or Cutting Instrument","82","132"
"Other Weapon","278","446"
"Hands  Fists  Feet","682","490"
"Property Crimes","7,148","6,590"
"Burglary","1,607","1,036"
"Means of Entry","",""
"Forcible Entry","1,102","636"
"No Force","505","400"
"Location / Time","",""
"Residence","899","429"
"Night","261","146"
"Day","357","249"
"Unknown","281","34"
"Non-Residence","708","607"
"Night","393","301"
"Day","146","265"
"Unknown","169","41"
"Motor Vehicle Theft","1,158","1,103"
"Automotive","921","743"
"Trucks and Buses","134","135"
"Other","103","225"
"Larceny-Theft","4,383","4,451"
"Type","",""
"Pocket-Picking","23","56"
"Purse-Snatching","22","27"
"Shoplifting","961","816"
"From Motor Vehicle","1,418","961"
"Motor Vehicle Accessories","187","792"
"Bicycles","176","109"
"From Building","373","291"
"Coin Operated Machine","10","6"
"Other","1,213","1,393"
"Value","",""
"Over $400","1,388","null"
"Over $200","0","2,816"
"$200 through $400","630","null"
"$50 through $199","1,026","755"
"Under $50","1,339","880"
"Arson","132","213"
"Structural Property","58","42"
"Mobile Property","16","67"
"Other Property","58","104"
