" ","2017","2022"
"Crimes","",""
"Violent Crimes","58","47"
"Homicide","2","0"
"Rape (Forcible Rape prior to 2014)","2","4"
"Rape","2","4"
"Attempted Rape","0","0"
"Robbery","3","2"
"Weapon","",""
"Firearm","1","0"
"Knife or Cutting Instrument","0","0"
"Other Weapon","0","0"
"Strong-Arm","2","2"
"Location","",""
"Highway","0","0"
"Commercial","0","0"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","2","1"
"Bank","0","0"
"Miscellaneous","1","1"
"Aggravated Assault","51","41"
"Weapon","",""
"Firearm","0","2"
"Knife or Cutting Instrument","5","3"
"Other Weapon","30","22"
"Hands  Fists  Feet","16","14"
"Property Crimes","179","87"
"Burglary","40","24"
"Means of Entry","",""
"Forcible Entry","20","10"
"No Force","20","14"
"Location / Time","",""
"Residence","26","10"
"Night","1","5"
"Day","9","1"
"Unknown","16","4"
"Non-Residence","14","14"
"Night","5","6"
"Day","5","6"
"Unknown","4","2"
"Motor Vehicle Theft","15","17"
"Automotive","10","11"
"Trucks and Buses","3","5"
"Other","2","1"
"Larceny-Theft","124","46"
"Type","",""
"Pocket-Picking","0","1"
"Purse-Snatching","0","0"
"Shoplifting","2","0"
"From Motor Vehicle","18","3"
"Motor Vehicle Accessories","6","4"
"Bicycles","10","0"
"From Building","37","7"
"Coin Operated Machine","0","0"
"Other","51","31"
"Value","",""
"Over $400","37","null"
"Over $200","0","23"
"$200 through $400","24","null"
"$50 through $199","38","6"
"Under $50","25","17"
"Arson","2","1"
"Structural Property","1","0"
"Mobile Property","0","0"
"Other Property","1","1"
