" ","2017","2022"
"Crimes","",""
"Violent Crimes","1,802","1,835"
"Homicide","43","23"
"Rape (Forcible Rape prior to 2014)","168","185"
"Rape","159","175"
"Attempted Rape","9","10"
"Robbery","547","388"
"Weapon","",""
"Firearm","237","100"
"Knife or Cutting Instrument","56","40"
"Other Weapon","24","99"
"Strong-Arm","230","149"
"Location","",""
"Highway","246","94"
"Commercial","94","95"
"Gas Station","19","13"
"Convenience Store","74","33"
"Residence","31","17"
"Bank","1","7"
"Miscellaneous","82","129"
"Aggravated Assault","1,044","1,239"
"Weapon","",""
"Firearm","246","181"
"Knife or Cutting Instrument","150","178"
"Other Weapon","275","437"
"Hands  Fists  Feet","373","443"
"Property Crimes","10,043","6,427"
"Burglary","1,937","1,003"
"Means of Entry","",""
"Forcible Entry","1,208","652"
"No Force","729","351"
"Location / Time","",""
"Residence","1,026","250"
"Night","226","90"
"Day","540","154"
"Unknown","260","6"
"Non-Residence","911","753"
"Night","449","369"
"Day","273","379"
"Unknown","189","5"
"Motor Vehicle Theft","2,080","1,142"
"Automotive","1,519","725"
"Trucks and Buses","412","333"
"Other","149","84"
"Larceny-Theft","6,026","4,282"
"Type","",""
"Pocket-Picking","28","41"
"Purse-Snatching","20","34"
"Shoplifting","805","802"
"From Motor Vehicle","2,502","1,250"
"Motor Vehicle Accessories","764","566"
"Bicycles","310","157"
"From Building","455","287"
"Coin Operated Machine","35","4"
"Other","1,107","1,141"
"Value","",""
"Over $400","2,312","null"
"Over $200","0","2,441"
"$200 through $400","785","null"
"$50 through $199","1,058","620"
"Under $50","1,871","1,221"
"Arson","58","79"
"Structural Property","27","16"
"Mobile Property","17","15"
"Other Property","14","48"
