" ","2017","2022"
"Crimes","",""
"Violent Crimes","597","456"
"Homicide","1","2"
"Rape (Forcible Rape prior to 2014)","60","61"
"Rape","60","58"
"Attempted Rape","0","3"
"Robbery","61","72"
"Weapon","",""
"Firearm","12","19"
"Knife or Cutting Instrument","4","9"
"Other Weapon","7","7"
"Strong-Arm","38","37"
"Location","",""
"Highway","13","18"
"Commercial","19","17"
"Gas Station","4","1"
"Convenience Store","5","5"
"Residence","5","14"
"Bank","2","2"
"Miscellaneous","13","15"
"Aggravated Assault","475","321"
"Weapon","",""
"Firearm","27","45"
"Knife or Cutting Instrument","40","42"
"Other Weapon","111","103"
"Hands  Fists  Feet","297","131"
"Property Crimes","2,225","2,042"
"Burglary","560","287"
"Means of Entry","",""
"Forcible Entry","114","104"
"No Force","446","183"
"Location / Time","",""
"Residence","201","102"
"Night","35","23"
"Day","108","51"
"Unknown","58","28"
"Non-Residence","359","185"
"Night","104","44"
"Day","194","101"
"Unknown","61","40"
"Motor Vehicle Theft","281","308"
"Automotive","162","134"
"Trucks and Buses","100","151"
"Other","19","23"
"Larceny-Theft","1,384","1,447"
"Type","",""
"Pocket-Picking","4","14"
"Purse-Snatching","16","5"
"Shoplifting","171","245"
"From Motor Vehicle","426","355"
"Motor Vehicle Accessories","73","169"
"Bicycles","107","148"
"From Building","122","56"
"Coin Operated Machine","4","2"
"Other","461","453"
"Value","",""
"Over $400","551","null"
"Over $200","0","936"
"$200 through $400","215","null"
"$50 through $199","265","174"
"Under $50","353","337"
"Arson","6","18"
"Structural Property","2","2"
"Mobile Property","1","0"
"Other Property","3","16"
