" ","2017","2022"
"Crimes","",""
"Violent Crimes","280","497"
"Homicide","5","2"
"Rape (Forcible Rape prior to 2014)","17","49"
"Rape","17","47"
"Attempted Rape","0","2"
"Robbery","23","33"
"Weapon","",""
"Firearm","6","12"
"Knife or Cutting Instrument","4","2"
"Other Weapon","2","4"
"Strong-Arm","11","15"
"Location","",""
"Highway","2","3"
"Commercial","1","4"
"Gas Station","1","2"
"Convenience Store","2","1"
"Residence","6","16"
"Bank","1","0"
"Miscellaneous","10","7"
"Aggravated Assault","235","413"
"Weapon","",""
"Firearm","4","39"
"Knife or Cutting Instrument","17","32"
"Other Weapon","80","154"
"Hands  Fists  Feet","134","188"
"Property Crimes","1,765","1,020"
"Burglary","482","240"
"Means of Entry","",""
"Forcible Entry","288","145"
"No Force","194","95"
"Location / Time","",""
"Residence","227","104"
"Night","48","30"
"Day","63","58"
"Unknown","116","16"
"Non-Residence","255","136"
"Night","128","56"
"Day","53","73"
"Unknown","74","7"
"Motor Vehicle Theft","292","154"
"Automotive","209","97"
"Trucks and Buses","33","45"
"Other","50","12"
"Larceny-Theft","991","626"
"Type","",""
"Pocket-Picking","24","236"
"Purse-Snatching","8","1"
"Shoplifting","187","84"
"From Motor Vehicle","242","68"
"Motor Vehicle Accessories","25","28"
"Bicycles","52","17"
"From Building","134","45"
"Coin Operated Machine","1","0"
"Other","318","147"
"Value","",""
"Over $400","327","null"
"Over $200","0","353"
"$200 through $400","153","null"
"$50 through $199","205","114"
"Under $50","306","159"
"Arson","10","16"
"Structural Property","5","4"
"Mobile Property","1","3"
"Other Property","4","9"
