" ","2017","2022"
"Crimes","",""
"Violent Crimes","7,627","8,955"
"Homicide","62","60"
"Rape (Forcible Rape prior to 2014)","830","746"
"Rape","782","706"
"Attempted Rape","48","40"
"Robbery","2,495","1,913"
"Weapon","",""
"Firearm","608","398"
"Knife or Cutting Instrument","312","225"
"Other Weapon","347","339"
"Strong-Arm","1,228","951"
"Location","",""
"Highway","706","461"
"Commercial","601","504"
"Gas Station","86","77"
"Convenience Store","176","155"
"Residence","163","174"
"Bank","31","35"
"Miscellaneous","732","507"
"Aggravated Assault","4,240","6,236"
"Weapon","",""
"Firearm","642","837"
"Knife or Cutting Instrument","840","1,110"
"Other Weapon","1,643","1,973"
"Hands  Fists  Feet","1,115","2,316"
"Property Crimes","65,638","59,875"
"Burglary","10,196","10,304"
"Means of Entry","",""
"Forcible Entry","7,008","7,423"
"No Force","3,188","2,881"
"Location / Time","",""
"Residence","4,953","3,118"
"Night","1,133","1,161"
"Day","1,929","1,324"
"Unknown","1,891","633"
"Non-Residence","5,243","7,186"
"Night","2,189","3,342"
"Day","988","2,785"
"Unknown","2,066","1,059"
"Motor Vehicle Theft","8,835","8,480"
"Automotive","6,699","5,432"
"Trucks and Buses","1,580","1,519"
"Other","556","1,529"
"Larceny-Theft","46,607","41,091"
"Type","",""
"Pocket-Picking","594","827"
"Purse-Snatching","117","102"
"Shoplifting","7,948","6,159"
"From Motor Vehicle","19,624","12,755"
"Motor Vehicle Accessories","2,786","7,407"
"Bicycles","2,645","2,342"
"From Building","3,491","2,714"
"Coin Operated Machine","170","44"
"Other","9,232","8,741"
"Value","",""
"Over $400","18,389","null"
"Over $200","0","26,916"
"$200 through $400","7,052","null"
"$50 through $199","8,430","5,123"
"Under $50","12,736","9,052"
"Arson","328","335"
"Structural Property","94","79"
"Mobile Property","52","32"
"Other Property","182","224"
