" ","2017","2022"
"Crimes","",""
"Violent Crimes","703","1,016"
"Homicide","7","10"
"Rape (Forcible Rape prior to 2014)","107","136"
"Rape","106","130"
"Attempted Rape","1","6"
"Robbery","160","141"
"Weapon","",""
"Firearm","35","24"
"Knife or Cutting Instrument","13","10"
"Other Weapon","19","24"
"Strong-Arm","93","83"
"Location","",""
"Highway","17","13"
"Commercial","48","39"
"Gas Station","12","5"
"Convenience Store","7","12"
"Residence","20","15"
"Bank","4","4"
"Miscellaneous","52","53"
"Aggravated Assault","429","729"
"Weapon","",""
"Firearm","53","49"
"Knife or Cutting Instrument","43","41"
"Other Weapon","159","199"
"Hands  Fists  Feet","174","440"
"Property Crimes","6,969","5,662"
"Burglary","1,146","730"
"Means of Entry","",""
"Forcible Entry","573","252"
"No Force","573","478"
"Location / Time","",""
"Residence","683","299"
"Night","177","109"
"Day","209","98"
"Unknown","297","92"
"Non-Residence","463","431"
"Night","186","198"
"Day","97","108"
"Unknown","180","125"
"Motor Vehicle Theft","658","565"
"Automotive","484","378"
"Trucks and Buses","83","117"
"Other","91","70"
"Larceny-Theft","5,165","4,367"
"Type","",""
"Pocket-Picking","20","34"
"Purse-Snatching","33","52"
"Shoplifting","996","1,025"
"From Motor Vehicle","2,002","1,269"
"Motor Vehicle Accessories","233","474"
"Bicycles","151","130"
"From Building","592","255"
"Coin Operated Machine","9","3"
"Other","1,129","1,125"
"Value","",""
"Over $400","2,184","null"
"Over $200","0","3,091"
"$200 through $400","728","null"
"$50 through $199","1,058","589"
"Under $50","1,195","687"
"Arson","53","51"
"Structural Property","33","27"
"Mobile Property","3","6"
"Other Property","17","18"
