" ","2017","2022"
"Crimes","",""
"Violent Crimes","146","152"
"Homicide","0","0"
"Rape (Forcible Rape prior to 2014)","23","4"
"Rape","23","3"
"Attempted Rape","0","1"
"Robbery","7","4"
"Weapon","",""
"Firearm","4","0"
"Knife or Cutting Instrument","0","0"
"Other Weapon","1","1"
"Strong-Arm","2","3"
"Location","",""
"Highway","2","0"
"Commercial","4","0"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","0","3"
"Bank","0","0"
"Miscellaneous","1","1"
"Aggravated Assault","116","144"
"Weapon","",""
"Firearm","2","5"
"Knife or Cutting Instrument","10","6"
"Other Weapon","47","54"
"Hands  Fists  Feet","57","79"
"Property Crimes","304","288"
"Burglary","140","69"
"Means of Entry","",""
"Forcible Entry","68","40"
"No Force","72","29"
"Location / Time","",""
"Residence","67","29"
"Night","11","8"
"Day","56","21"
"Unknown","0","0"
"Non-Residence","73","40"
"Night","19","3"
"Day","54","37"
"Unknown","0","0"
"Motor Vehicle Theft","6","18"
"Automotive","4","10"
"Trucks and Buses","0","6"
"Other","2","2"
"Larceny-Theft","158","201"
"Type","",""
"Pocket-Picking","7","13"
"Purse-Snatching","0","4"
"Shoplifting","9","15"
"From Motor Vehicle","26","35"
"Motor Vehicle Accessories","9","10"
"Bicycles","14","7"
"From Building","22","16"
"Coin Operated Machine","0","1"
"Other","71","100"
"Value","",""
"Over $400","66","null"
"Over $200","0","120"
"$200 through $400","26","null"
"$50 through $199","31","37"
"Under $50","35","44"
"Arson","6","6"
"Structural Property","1","2"
"Mobile Property","1","1"
"Other Property","4","3"
