" ","2017","2022"
"Crimes","",""
"Violent Crimes","7,308","8,122"
"Homicide","81","113"
"Rape (Forcible Rape prior to 2014)","550","529"
"Rape","495","472"
"Attempted Rape","55","57"
"Robbery","2,226","1,784"
"Weapon","",""
"Firearm","564","390"
"Knife or Cutting Instrument","230","180"
"Other Weapon","648","653"
"Strong-Arm","784","561"
"Location","",""
"Highway","553","386"
"Commercial","563","395"
"Gas Station","94","115"
"Convenience Store","193","172"
"Residence","283","220"
"Bank","39","16"
"Miscellaneous","501","480"
"Aggravated Assault","4,451","5,696"
"Weapon","",""
"Firearm","835","910"
"Knife or Cutting Instrument","676","718"
"Other Weapon","1,627","2,300"
"Hands  Fists  Feet","1,313","1,768"
"Property Crimes","61,826","56,431"
"Burglary","11,647","8,951"
"Means of Entry","",""
"Forcible Entry","8,089","6,519"
"No Force","3,558","2,432"
"Location / Time","",""
"Residence","6,635","3,422"
"Night","1,630","1,094"
"Day","2,252","1,314"
"Unknown","2,753","1,014"
"Non-Residence","5,012","5,529"
"Night","2,331","2,592"
"Day","938","1,636"
"Unknown","1,743","1,301"
"Motor Vehicle Theft","10,291","10,761"
"Automotive","6,602","5,799"
"Trucks and Buses","2,462","2,974"
"Other","1,227","1,988"
"Larceny-Theft","39,888","36,719"
"Type","",""
"Pocket-Picking","603","404"
"Purse-Snatching","121","104"
"Shoplifting","5,447","5,164"
"From Motor Vehicle","14,638","11,484"
"Motor Vehicle Accessories","1,668","4,743"
"Bicycles","1,153","856"
"From Building","5,849","3,786"
"Coin Operated Machine","60","47"
"Other","10,349","10,131"
"Value","",""
"Over $400","13,992","null"
"Over $200","0","22,375"
"$200 through $400","5,427","null"
"$50 through $199","7,600","5,285"
"Under $50","12,869","9,059"
"Arson","229","338"
"Structural Property","76","63"
"Mobile Property","57","47"
"Other Property","96","228"
