" ","2017","2022"
"Crimes","",""
"Violent Crimes","7,412","8,894"
"Homicide","78","102"
"Rape (Forcible Rape prior to 2014)","387","426"
"Rape","369","416"
"Attempted Rape","18","10"
"Robbery","2,206","2,185"
"Weapon","",""
"Firearm","709","440"
"Knife or Cutting Instrument","137","159"
"Other Weapon","272","342"
"Strong-Arm","1,088","1,244"
"Location","",""
"Highway","736","806"
"Commercial","483","715"
"Gas Station","73","71"
"Convenience Store","111","90"
"Residence","395","274"
"Bank","23","16"
"Miscellaneous","385","213"
"Aggravated Assault","4,741","6,181"
"Weapon","",""
"Firearm","1,264","1,418"
"Knife or Cutting Instrument","651","810"
"Other Weapon","1,697","2,504"
"Hands  Fists  Feet","1,129","1,449"
"Property Crimes","36,588","37,252"
"Burglary","6,942","5,819"
"Means of Entry","",""
"Forcible Entry","4,642","3,921"
"No Force","2,300","1,898"
"Location / Time","",""
"Residence","4,224","2,368"
"Night","1,387","797"
"Day","2,077","918"
"Unknown","760","653"
"Non-Residence","2,718","3,451"
"Night","1,398","1,602"
"Day","906","1,093"
"Unknown","414","756"
"Motor Vehicle Theft","6,203","7,219"
"Automotive","4,884","4,477"
"Trucks and Buses","908","2,017"
"Other","411","725"
"Larceny-Theft","23,443","24,214"
"Type","",""
"Pocket-Picking","35","85"
"Purse-Snatching","73","89"
"Shoplifting","2,791","1,912"
"From Motor Vehicle","7,695","6,552"
"Motor Vehicle Accessories","3,162","3,969"
"Bicycles","1,195","749"
"From Building","1,654","1,147"
"Coin Operated Machine","40","11"
"Other","6,798","9,700"
"Value","",""
"Over $400","9,579","null"
"Over $200","0","16,025"
"$200 through $400","3,407","null"
"$50 through $199","4,153","2,893"
"Under $50","6,304","5,296"
"Arson","315","331"
"Structural Property","133","99"
"Mobile Property","58","52"
"Other Property","124","180"
