" ","2017","2022"
"Crimes","",""
"Violent Crimes","183","211"
"Homicide","2","3"
"Rape (Forcible Rape prior to 2014)","28","32"
"Rape","25","32"
"Attempted Rape","3","0"
"Robbery","39","26"
"Weapon","",""
"Firearm","15","8"
"Knife or Cutting Instrument","1","1"
"Other Weapon","4","7"
"Strong-Arm","19","10"
"Location","",""
"Highway","9","6"
"Commercial","6","4"
"Gas Station","0","1"
"Convenience Store","13","0"
"Residence","1","5"
"Bank","0","0"
"Miscellaneous","10","10"
"Aggravated Assault","114","150"
"Weapon","",""
"Firearm","5","22"
"Knife or Cutting Instrument","16","15"
"Other Weapon","33","59"
"Hands  Fists  Feet","60","54"
"Property Crimes","556","510"
"Burglary","121","86"
"Means of Entry","",""
"Forcible Entry","74","56"
"No Force","47","30"
"Location / Time","",""
"Residence","66","34"
"Night","17","16"
"Day","31","18"
"Unknown","18","0"
"Non-Residence","55","52"
"Night","30","20"
"Day","13","30"
"Unknown","12","2"
"Motor Vehicle Theft","101","90"
"Automotive","64","53"
"Trucks and Buses","17","15"
"Other","20","22"
"Larceny-Theft","334","334"
"Type","",""
"Pocket-Picking","3","1"
"Purse-Snatching","0","2"
"Shoplifting","83","83"
"From Motor Vehicle","95","80"
"Motor Vehicle Accessories","33","54"
"Bicycles","8","9"
"From Building","28","16"
"Coin Operated Machine","0","0"
"Other","84","89"
"Value","",""
"Over $400","124","null"
"Over $200","0","212"
"$200 through $400","40","null"
"$50 through $199","76","48"
"Under $50","94","74"
"Arson","6","11"
"Structural Property","4","2"
"Mobile Property","0","2"
"Other Property","2","7"
