" ","2017","2022"
"Crimes","",""
"Violent Crimes","10,217","12,677"
"Homicide","128","186"
"Rape (Forcible Rape prior to 2014)","846","850"
"Rape","803","796"
"Attempted Rape","43","54"
"Robbery","2,982","2,417"
"Weapon","",""
"Firearm","902","823"
"Knife or Cutting Instrument","275","189"
"Other Weapon","303","237"
"Strong-Arm","1,502","1,168"
"Location","",""
"Highway","805","712"
"Commercial","780","596"
"Gas Station","107","119"
"Convenience Store","288","186"
"Residence","328","301"
"Bank","18","23"
"Miscellaneous","656","480"
"Aggravated Assault","6,261","9,224"
"Weapon","",""
"Firearm","1,085","2,208"
"Knife or Cutting Instrument","1,047","1,139"
"Other Weapon","2,462","2,714"
"Hands  Fists  Feet","1,667","3,163"
"Property Crimes","52,007","43,357"
"Burglary","11,711","8,278"
"Means of Entry","",""
"Forcible Entry","8,405","6,187"
"No Force","3,306","2,091"
"Location / Time","",""
"Residence","6,680","2,908"
"Night","1,407","979"
"Day","2,543","976"
"Unknown","2,730","953"
"Non-Residence","5,031","5,370"
"Night","1,969","2,693"
"Day","1,105","1,321"
"Unknown","1,957","1,356"
"Motor Vehicle Theft","10,308","8,507"
"Automotive","7,790","5,857"
"Trucks and Buses","1,793","1,929"
"Other","725","721"
"Larceny-Theft","29,988","26,572"
"Type","",""
"Pocket-Picking","119","538"
"Purse-Snatching","75","108"
"Shoplifting","5,502","5,083"
"From Motor Vehicle","10,726","7,580"
"Motor Vehicle Accessories","2,829","5,715"
"Bicycles","456","378"
"From Building","2,566","1,226"
"Coin Operated Machine","40","45"
"Other","7,675","5,899"
"Value","",""
"Over $400","11,019","null"
"Over $200","0","17,991"
"$200 through $400","4,239","null"
"$50 through $199","5,069","3,146"
"Under $50","9,661","5,435"
"Arson","410","497"
"Structural Property","170","182"
"Mobile Property","118","111"
"Other Property","122","204"
