" ","2017","2022"
"Crimes","",""
"Violent Crimes","11,288","12,497"
"Homicide","80","106"
"Rape (Forcible Rape prior to 2014)","1,098","755"
"Rape","974","746"
"Attempted Rape","124","9"
"Robbery","3,013","2,664"
"Weapon","",""
"Firearm","544","390"
"Knife or Cutting Instrument","322","339"
"Other Weapon","366","423"
"Strong-Arm","1,781","1,512"
"Location","",""
"Highway","1,495","668"
"Commercial","684","893"
"Gas Station","99","90"
"Convenience Store","153","238"
"Residence","216","159"
"Bank","48","41"
"Miscellaneous","318","575"
"Aggravated Assault","7,097","8,972"
"Weapon","",""
"Firearm","829","1,198"
"Knife or Cutting Instrument","1,461","1,769"
"Other Weapon","2,971","2,981"
"Hands  Fists  Feet","1,836","3,024"
"Property Crimes","56,797","52,736"
"Burglary","9,120","7,556"
"Means of Entry","",""
"Forcible Entry","4,658","4,675"
"No Force","4,462","2,881"
"Location / Time","",""
"Residence","5,267","2,399"
"Night","1,027","1,125"
"Day","1,634","1,273"
"Unknown","2,606","1"
"Non-Residence","3,853","5,157"
"Night","1,438","2,969"
"Day","708","2,170"
"Unknown","1,707","18"
"Motor Vehicle Theft","9,731","12,215"
"Automotive","7,338","9,747"
"Trucks and Buses","1,161","155"
"Other","1,232","2,313"
"Larceny-Theft","37,946","32,965"
"Type","",""
"Pocket-Picking","79","116"
"Purse-Snatching","159","163"
"Shoplifting","5,318","4,116"
"From Motor Vehicle","15,022","11,811"
"Motor Vehicle Accessories","1,387","3,264"
"Bicycles","2,648","2,251"
"From Building","9,112","1,800"
"Coin Operated Machine","46","62"
"Other","4,175","9,382"
"Value","",""
"Over $400","16,107","null"
"Over $200","0","23,217"
"$200 through $400","5,981","null"
"$50 through $199","6,951","5,009"
"Under $50","8,907","4,739"
"Arson","347","427"
"Structural Property","151","116"
"Mobile Property","69","70"
"Other Property","127","241"
