" ","2017","2022"
"Crimes","",""
"Violent Crimes","6,410","5,456"
"Homicide","56","56"
"Rape (Forcible Rape prior to 2014)","373","311"
"Rape","319","296"
"Attempted Rape","54","15"
"Robbery","3,281","2,444"
"Weapon","",""
"Firearm","582","597"
"Knife or Cutting Instrument","317","180"
"Other Weapon","317","211"
"Strong-Arm","2,065","1,456"
"Location","",""
"Highway","862","535"
"Commercial","187","75"
"Gas Station","8","11"
"Convenience Store","251","123"
"Residence","51","43"
"Bank","26","34"
"Miscellaneous","1,896","1,623"
"Aggravated Assault","2,700","2,645"
"Weapon","",""
"Firearm","296","370"
"Knife or Cutting Instrument","331","314"
"Other Weapon","1,203","1,161"
"Hands  Fists  Feet","870","800"
"Property Crimes","55,253","48,411"
"Burglary","4,993","6,006"
"Means of Entry","",""
"Forcible Entry","2,499","3,373"
"No Force","2,494","2,633"
"Location / Time","",""
"Residence","2,019","2,416"
"Night","811","1,313"
"Day","1,206","1,103"
"Unknown","2","0"
"Non-Residence","2,974","3,590"
"Night","1,870","2,364"
"Day","1,088","1,216"
"Unknown","16","10"
"Motor Vehicle Theft","4,875","6,359"
"Automotive","3,803","4,386"
"Trucks and Buses","422","898"
"Other","650","1,075"
"Larceny-Theft","45,385","36,046"
"Type","",""
"Pocket-Picking","841","449"
"Purse-Snatching","46","26"
"Shoplifting","2,208","2,785"
"From Motor Vehicle","29,851","21,704"
"Motor Vehicle Accessories","93","1,097"
"Bicycles","790","403"
"From Building","2,876","1,640"
"Coin Operated Machine","8","3"
"Other","8,672","7,939"
"Value","",""
"Over $400","21,382","null"
"Over $200","0","27,344"
"$200 through $400","3,387","null"
"$50 through $199","3,213","3,326"
"Under $50","17,403","5,376"
"Arson","303","353"
"Structural Property","74","218"
"Mobile Property","95","116"
"Other Property","134","19"
