" ","2017","2022"
"Crimes","",""
"Violent Crimes","5,991","5,309"
"Homicide","68","60"
"Rape (Forcible Rape prior to 2014)","247","273"
"Rape","230","270"
"Attempted Rape","17","3"
"Robbery","1,671","1,250"
"Weapon","",""
"Firearm","548","427"
"Knife or Cutting Instrument","114","79"
"Other Weapon","249","213"
"Strong-Arm","760","531"
"Location","",""
"Highway","181","306"
"Commercial","293","257"
"Gas Station","41","61"
"Convenience Store","173","139"
"Residence","235","185"
"Bank","25","19"
"Miscellaneous","723","283"
"Aggravated Assault","4,005","3,726"
"Weapon","",""
"Firearm","1,039","1,488"
"Knife or Cutting Instrument","333","364"
"Other Weapon","1,536","1,410"
"Hands  Fists  Feet","1,097","464"
"Property Crimes","21,751","15,472"
"Burglary","3,925","2,879"
"Means of Entry","",""
"Forcible Entry","2,620","2,131"
"No Force","1,305","748"
"Location / Time","",""
"Residence","2,286","948"
"Night","518","337"
"Day","971","447"
"Unknown","797","164"
"Non-Residence","1,639","1,931"
"Night","720","947"
"Day","435","676"
"Unknown","484","308"
"Motor Vehicle Theft","3,861","2,225"
"Automotive","2,589","1,737"
"Trucks and Buses","1,027","266"
"Other","245","222"
"Larceny-Theft","13,965","10,368"
"Type","",""
"Pocket-Picking","17","55"
"Purse-Snatching","21","55"
"Shoplifting","2,434","2,328"
"From Motor Vehicle","5,966","2,930"
"Motor Vehicle Accessories","1,269","1,966"
"Bicycles","358","116"
"From Building","950","922"
"Coin Operated Machine","41","2"
"Other","2,909","1,994"
"Value","",""
"Over $400","5,038","null"
"Over $200","0","6,708"
"$200 through $400","1,902","null"
"$50 through $199","2,591","1,351"
"Under $50","4,434","2,309"
"Arson","270","276"
"Structural Property","133","80"
"Mobile Property","44","51"
"Other Property","93","145"
