" ","2017","2022"
"Crimes","",""
"Violent Crimes","829","1,252"
"Homicide","2","3"
"Rape (Forcible Rape prior to 2014)","96","132"
"Rape","87","128"
"Attempted Rape","9","4"
"Robbery","85","105"
"Weapon","",""
"Firearm","19","12"
"Knife or Cutting Instrument","11","11"
"Other Weapon","10","15"
"Strong-Arm","45","67"
"Location","",""
"Highway","12","25"
"Commercial","11","14"
"Gas Station","5","9"
"Convenience Store","11","16"
"Residence","12","7"
"Bank","3","3"
"Miscellaneous","31","31"
"Aggravated Assault","646","1,012"
"Weapon","",""
"Firearm","27","67"
"Knife or Cutting Instrument","67","106"
"Other Weapon","131","294"
"Hands  Fists  Feet","421","545"
"Property Crimes","5,812","5,150"
"Burglary","1,038","949"
"Means of Entry","",""
"Forcible Entry","643","630"
"No Force","395","319"
"Location / Time","",""
"Residence","398","374"
"Night","101","99"
"Day","113","178"
"Unknown","184","97"
"Non-Residence","640","575"
"Night","276","213"
"Day","146","280"
"Unknown","218","82"
"Motor Vehicle Theft","429","437"
"Automotive","272","247"
"Trucks and Buses","68","116"
"Other","89","74"
"Larceny-Theft","4,345","3,764"
"Type","",""
"Pocket-Picking","10","298"
"Purse-Snatching","17","7"
"Shoplifting","977","560"
"From Motor Vehicle","1,303","889"
"Motor Vehicle Accessories","130","426"
"Bicycles","416","402"
"From Building","361","267"
"Coin Operated Machine","12","5"
"Other","1,119","910"
"Value","",""
"Over $400","1,331","null"
"Over $200","0","2,335"
"$200 through $400","647","null"
"$50 through $199","963","597"
"Under $50","1,404","832"
"Arson","36","58"
"Structural Property","7","14"
"Mobile Property","5","3"
"Other Property","24","41"
