" ","2017","2022"
"Crimes","",""
"Violent Crimes","1,928","2,295"
"Homicide","7","13"
"Rape (Forcible Rape prior to 2014)","325","230"
"Rape","318","219"
"Attempted Rape","7","11"
"Robbery","567","551"
"Weapon","",""
"Firearm","104","112"
"Knife or Cutting Instrument","64","41"
"Other Weapon","43","74"
"Strong-Arm","356","324"
"Location","",""
"Highway","167","153"
"Commercial","156","141"
"Gas Station","15","12"
"Convenience Store","21","38"
"Residence","45","56"
"Bank","10","8"
"Miscellaneous","153","143"
"Aggravated Assault","1,029","1,501"
"Weapon","",""
"Firearm","66","178"
"Knife or Cutting Instrument","136","175"
"Other Weapon","353","612"
"Hands  Fists  Feet","474","536"
"Property Crimes","15,142","15,538"
"Burglary","2,481","2,344"
"Means of Entry","",""
"Forcible Entry","1,302","855"
"No Force","1,179","1,489"
"Location / Time","",""
"Residence","984","857"
"Night","306","393"
"Day","578","374"
"Unknown","100","90"
"Non-Residence","1,497","1,487"
"Night","686","669"
"Day","681","660"
"Unknown","130","158"
"Motor Vehicle Theft","1,606","2,069"
"Automotive","1,230","1,299"
"Trucks and Buses","230","418"
"Other","146","352"
"Larceny-Theft","11,055","11,125"
"Type","",""
"Pocket-Picking","94","111"
"Purse-Snatching","55","77"
"Shoplifting","1,546","2,569"
"From Motor Vehicle","4,968","3,135"
"Motor Vehicle Accessories","441","2,069"
"Bicycles","618","547"
"From Building","1,093","788"
"Coin Operated Machine","23","12"
"Other","2,217","1,817"
"Value","",""
"Over $400","4,916","null"
"Over $200","0","7,165"
"$200 through $400","1,691","null"
"$50 through $199","2,027","1,547"
"Under $50","2,421","2,413"
"Arson","92","108"
"Structural Property","58","33"
"Mobile Property","3","10"
"Other Property","31","65"
