" ","2017","2022"
"Crimes","",""
"Violent Crimes","1,532","1,714"
"Homicide","8","21"
"Rape (Forcible Rape prior to 2014)","257","190"
"Rape","237","185"
"Attempted Rape","20","5"
"Robbery","327","386"
"Weapon","",""
"Firearm","51","104"
"Knife or Cutting Instrument","45","44"
"Other Weapon","32","54"
"Strong-Arm","199","184"
"Location","",""
"Highway","128","149"
"Commercial","45","72"
"Gas Station","7","9"
"Convenience Store","26","22"
"Residence","43","40"
"Bank","5","2"
"Miscellaneous","73","92"
"Aggravated Assault","940","1,117"
"Weapon","",""
"Firearm","70","197"
"Knife or Cutting Instrument","205","187"
"Other Weapon","271","365"
"Hands  Fists  Feet","394","368"
"Property Crimes","8,742","8,723"
"Burglary","1,663","1,184"
"Means of Entry","",""
"Forcible Entry","864","716"
"No Force","799","468"
"Location / Time","",""
"Residence","939","486"
"Night","268","165"
"Day","385","238"
"Unknown","286","83"
"Non-Residence","724","698"
"Night","235","321"
"Day","236","284"
"Unknown","253","93"
"Motor Vehicle Theft","1,254","1,881"
"Automotive","1,038","1,326"
"Trucks and Buses","94","239"
"Other","122","316"
"Larceny-Theft","5,825","5,658"
"Type","",""
"Pocket-Picking","30","44"
"Purse-Snatching","22","44"
"Shoplifting","780","590"
"From Motor Vehicle","1,248","1,580"
"Motor Vehicle Accessories","337","834"
"Bicycles","651","847"
"From Building","499","320"
"Coin Operated Machine","13","10"
"Other","2,245","1,389"
"Value","",""
"Over $400","1,984","null"
"Over $200","0","3,627"
"$200 through $400","847","null"
"$50 through $199","935","734"
"Under $50","2,059","1,297"
"Arson","54","103"
"Structural Property","30","36"
"Mobile Property","7","9"
"Other Property","17","58"
