" ","2017","2022"
"Crimes","",""
"Violent Crimes","5,995","7,427"
"Homicide","46","41"
"Rape (Forcible Rape prior to 2014)","799","1,196"
"Rape","780","1,181"
"Attempted Rape","19","15"
"Robbery","1,892","1,818"
"Weapon","",""
"Firearm","504","365"
"Knife or Cutting Instrument","229","156"
"Other Weapon","173","211"
"Strong-Arm","986","1,086"
"Location","",""
"Highway","752","668"
"Commercial","482","469"
"Gas Station","53","50"
"Convenience Store","171","182"
"Residence","131","205"
"Bank","22","20"
"Miscellaneous","281","224"
"Aggravated Assault","3,258","4,372"
"Weapon","",""
"Firearm","596","717"
"Knife or Cutting Instrument","656","897"
"Other Weapon","1,305","1,886"
"Hands  Fists  Feet","701","872"
"Property Crimes","44,954","47,914"
"Burglary","6,851","7,390"
"Means of Entry","",""
"Forcible Entry","4,853","5,245"
"No Force","1,998","2,145"
"Location / Time","",""
"Residence","3,859","2,497"
"Night","669","940"
"Day","1,817","844"
"Unknown","1,373","713"
"Non-Residence","2,992","4,893"
"Night","1,234","2,451"
"Day","488","1,117"
"Unknown","1,270","1,325"
"Motor Vehicle Theft","10,330","9,336"
"Automotive","7,422","4,949"
"Trucks and Buses","2,391","3,659"
"Other","517","728"
"Larceny-Theft","27,773","31,188"
"Type","",""
"Pocket-Picking","157","226"
"Purse-Snatching","175","144"
"Shoplifting","3,807","3,373"
"From Motor Vehicle","12,664","11,339"
"Motor Vehicle Accessories","2,097","5,187"
"Bicycles","2,493","2,053"
"From Building","1,734","1,995"
"Coin Operated Machine","33","22"
"Other","4,613","6,849"
"Value","",""
"Over $400","13,857","null"
"Over $200","0","20,843"
"$200 through $400","3,718","null"
"$50 through $199","4,154","3,252"
"Under $50","6,044","7,093"
"Arson","266","349"
"Structural Property","117","106"
"Mobile Property","43","69"
"Other Property","106","174"
