" ","2017","2022"
"Crimes","",""
"Violent Crimes","1,056","1,200"
"Homicide","3","2"
"Rape (Forcible Rape prior to 2014)","156","143"
"Rape","134","133"
"Attempted Rape","22","10"
"Robbery","232","225"
"Weapon","",""
"Firearm","53","28"
"Knife or Cutting Instrument","39","34"
"Other Weapon","28","29"
"Strong-Arm","112","134"
"Location","",""
"Highway","28","48"
"Commercial","6","27"
"Gas Station","11","8"
"Convenience Store","23","28"
"Residence","21","28"
"Bank","4","1"
"Miscellaneous","139","85"
"Aggravated Assault","665","830"
"Weapon","",""
"Firearm","80","56"
"Knife or Cutting Instrument","128","103"
"Other Weapon","231","309"
"Hands  Fists  Feet","226","362"
"Property Crimes","8,947","5,239"
"Burglary","1,235","754"
"Means of Entry","",""
"Forcible Entry","734","538"
"No Force","501","216"
"Location / Time","",""
"Residence","584","220"
"Night","251","80"
"Day","187","98"
"Unknown","146","42"
"Non-Residence","651","534"
"Night","375","314"
"Day","117","158"
"Unknown","159","62"
"Motor Vehicle Theft","1,267","603"
"Automotive","964","366"
"Trucks and Buses","187","153"
"Other","116","84"
"Larceny-Theft","6,445","3,882"
"Type","",""
"Pocket-Picking","20","31"
"Purse-Snatching","34","21"
"Shoplifting","902","504"
"From Motor Vehicle","2,858","1,357"
"Motor Vehicle Accessories","445","371"
"Bicycles","607","422"
"From Building","427","292"
"Coin Operated Machine","28","8"
"Other","1,124","876"
"Value","",""
"Over $400","2,666","null"
"Over $200","0","2,507"
"$200 through $400","1,021","null"
"$50 through $199","1,125","487"
"Under $50","1,633","888"
"Arson","69","71"
"Structural Property","37","25"
"Mobile Property","7","5"
"Other Property","25","41"
