" ","2017","2022"
"Crimes","",""
"Violent Crimes","1,225","70"
"Homicide","6","0"
"Rape (Forcible Rape prior to 2014)","118","11"
"Rape","115","10"
"Attempted Rape","3","1"
"Robbery","177","12"
"Weapon","",""
"Firearm","33","1"
"Knife or Cutting Instrument","22","0"
"Other Weapon","20","4"
"Strong-Arm","102","7"
"Location","",""
"Highway","68","3"
"Commercial","8","5"
"Gas Station","6","0"
"Convenience Store","46","1"
"Residence","29","0"
"Bank","3","1"
"Miscellaneous","17","2"
"Aggravated Assault","924","47"
"Weapon","",""
"Firearm","116","17"
"Knife or Cutting Instrument","182","8"
"Other Weapon","381","14"
"Hands  Fists  Feet","245","8"
"Property Crimes","5,645","622"
"Burglary","1,249","74"
"Means of Entry","",""
"Forcible Entry","745","49"
"No Force","504","25"
"Location / Time","",""
"Residence","778","36"
"Night","170","10"
"Day","215","26"
"Unknown","393","0"
"Non-Residence","471","38"
"Night","190","8"
"Day","61","30"
"Unknown","220","0"
"Motor Vehicle Theft","1,221","245"
"Automotive","841","97"
"Trucks and Buses","260","106"
"Other","120","42"
"Larceny-Theft","3,175","303"
"Type","",""
"Pocket-Picking","6","1"
"Purse-Snatching","5","2"
"Shoplifting","557","91"
"From Motor Vehicle","1,397","50"
"Motor Vehicle Accessories","351","24"
"Bicycles","113","10"
"From Building","286","28"
"Coin Operated Machine","1","0"
"Other","459","97"
"Value","",""
"Over $400","1,095","null"
"Over $200","0","161"
"$200 through $400","411","null"
"$50 through $199","577","57"
"Under $50","1,092","85"
"Arson","61","3"
"Structural Property","11","0"
"Mobile Property","0","0"
"Other Property","50","3"
