" ","2017","2022"
"Crimes","",""
"Violent Crimes","5","10"
"Homicide","0","0"
"Rape (Forcible Rape prior to 2014)","0","0"
"Rape","0","0"
"Attempted Rape","0","0"
"Robbery","1","0"
"Weapon","",""
"Firearm","1","0"
"Knife or Cutting Instrument","0","0"
"Other Weapon","0","0"
"Strong-Arm","0","0"
"Location","",""
"Highway","0","0"
"Commercial","0","0"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","1","0"
"Bank","0","0"
"Miscellaneous","0","0"
"Aggravated Assault","4","10"
"Weapon","",""
"Firearm","1","0"
"Knife or Cutting Instrument","0","0"
"Other Weapon","3","7"
"Hands  Fists  Feet","0","3"
"Property Crimes","28","19"
"Burglary","12","8"
"Means of Entry","",""
"Forcible Entry","3","3"
"No Force","9","5"
"Location / Time","",""
"Residence","10","5"
"Night","1","2"
"Day","6","2"
"Unknown","3","1"
"Non-Residence","2","3"
"Night","1","0"
"Day","0","3"
"Unknown","1","0"
"Motor Vehicle Theft","4","1"
"Automotive","2","1"
"Trucks and Buses","0","0"
"Other","2","0"
"Larceny-Theft","12","10"
"Type","",""
"Pocket-Picking","0","0"
"Purse-Snatching","0","0"
"Shoplifting","2","0"
"From Motor Vehicle","2","0"
"Motor Vehicle Accessories","1","0"
"Bicycles","3","1"
"From Building","3","3"
"Coin Operated Machine","0","0"
"Other","1","6"
"Value","",""
"Over $400","4","null"
"Over $200","0","4"
"$200 through $400","2","null"
"$50 through $199","2","3"
"Under $50","4","3"
"Arson","0","2"
"Structural Property","0","0"
"Mobile Property","0","0"
"Other Property","0","2"
