" ","2017","2022"
"Crimes","",""
"Violent Crimes","176","319"
"Homicide","6","1"
"Rape (Forcible Rape prior to 2014)","15","32"
"Rape","13","31"
"Attempted Rape","2","1"
"Robbery","8","8"
"Weapon","",""
"Firearm","1","2"
"Knife or Cutting Instrument","0","0"
"Other Weapon","1","2"
"Strong-Arm","6","4"
"Location","",""
"Highway","1","5"
"Commercial","0","0"
"Gas Station","1","0"
"Convenience Store","0","0"
"Residence","1","2"
"Bank","1","0"
"Miscellaneous","4","1"
"Aggravated Assault","147","278"
"Weapon","",""
"Firearm","4","22"
"Knife or Cutting Instrument","22","32"
"Other Weapon","48","70"
"Hands  Fists  Feet","73","154"
"Property Crimes","800","737"
"Burglary","290","147"
"Means of Entry","",""
"Forcible Entry","190","85"
"No Force","100","62"
"Location / Time","",""
"Residence","145","80"
"Night","29","33"
"Day","22","22"
"Unknown","94","25"
"Non-Residence","145","67"
"Night","47","32"
"Day","28","22"
"Unknown","70","13"
"Motor Vehicle Theft","129","144"
"Automotive","95","66"
"Trucks and Buses","10","41"
"Other","24","37"
"Larceny-Theft","381","446"
"Type","",""
"Pocket-Picking","2","17"
"Purse-Snatching","2","2"
"Shoplifting","103","99"
"From Motor Vehicle","68","102"
"Motor Vehicle Accessories","22","31"
"Bicycles","19","10"
"From Building","58","41"
"Coin Operated Machine","2","2"
"Other","105","142"
"Value","",""
"Over $400","112","null"
"Over $200","0","261"
"$200 through $400","59","null"
"$50 through $199","89","75"
"Under $50","121","110"
"Arson","4","2"
"Structural Property","1","2"
"Mobile Property","1","0"
"Other Property","2","0"
