" ","2017","2022"
"Crimes","",""
"Violent Crimes","325","279"
"Homicide","3","5"
"Rape (Forcible Rape prior to 2014)","23","33"
"Rape","22","31"
"Attempted Rape","1","2"
"Robbery","59","40"
"Weapon","",""
"Firearm","14","8"
"Knife or Cutting Instrument","2","5"
"Other Weapon","7","5"
"Strong-Arm","36","22"
"Location","",""
"Highway","12","5"
"Commercial","12","5"
"Gas Station","5","4"
"Convenience Store","4","4"
"Residence","10","9"
"Bank","1","1"
"Miscellaneous","15","12"
"Aggravated Assault","240","201"
"Weapon","",""
"Firearm","32","32"
"Knife or Cutting Instrument","32","23"
"Other Weapon","107","80"
"Hands  Fists  Feet","69","66"
"Property Crimes","2,072","1,227"
"Burglary","550","302"
"Means of Entry","",""
"Forcible Entry","377","205"
"No Force","173","97"
"Location / Time","",""
"Residence","371","114"
"Night","50","26"
"Day","98","53"
"Unknown","223","35"
"Non-Residence","179","188"
"Night","73","56"
"Day","28","104"
"Unknown","78","28"
"Motor Vehicle Theft","490","131"
"Automotive","344","116"
"Trucks and Buses","97","4"
"Other","49","11"
"Larceny-Theft","1,032","794"
"Type","",""
"Pocket-Picking","2","0"
"Purse-Snatching","9","4"
"Shoplifting","153","116"
"From Motor Vehicle","309","126"
"Motor Vehicle Accessories","59","66"
"Bicycles","38","9"
"From Building","103","43"
"Coin Operated Machine","7","0"
"Other","352","430"
"Value","",""
"Over $400","388","null"
"Over $200","0","522"
"$200 through $400","159","null"
"$50 through $199","214","92"
"Under $50","271","180"
"Arson","31","21"
"Structural Property","12","12"
"Mobile Property","10","7"
"Other Property","9","2"
