" ","2017","2022"
"Crimes","",""
"Violent Crimes","2,112","2,503"
"Homicide","30","37"
"Rape (Forcible Rape prior to 2014)","179","242"
"Rape","171","236"
"Attempted Rape","8","6"
"Robbery","701","661"
"Weapon","",""
"Firearm","254","276"
"Knife or Cutting Instrument","30","37"
"Other Weapon","51","48"
"Strong-Arm","366","300"
"Location","",""
"Highway","195","137"
"Commercial","141","167"
"Gas Station","42","45"
"Convenience Store","53","49"
"Residence","85","88"
"Bank","19","14"
"Miscellaneous","166","161"
"Aggravated Assault","1,202","1,563"
"Weapon","",""
"Firearm","192","419"
"Knife or Cutting Instrument","127","170"
"Other Weapon","345","458"
"Hands  Fists  Feet","538","516"
"Property Crimes","12,004","11,856"
"Burglary","3,660","1,724"
"Means of Entry","",""
"Forcible Entry","2,334","841"
"No Force","1,326","883"
"Location / Time","",""
"Residence","1,455","715"
"Night","403","242"
"Day","793","387"
"Unknown","259","86"
"Non-Residence","2,205","1,009"
"Night","1,073","554"
"Day","894","385"
"Unknown","238","70"
"Motor Vehicle Theft","2,007","2,148"
"Automotive","1,399","1,253"
"Trucks and Buses","438","692"
"Other","170","203"
"Larceny-Theft","6,337","7,984"
"Type","",""
"Pocket-Picking","28","38"
"Purse-Snatching","52","21"
"Shoplifting","1,157","1,042"
"From Motor Vehicle","2,249","2,551"
"Motor Vehicle Accessories","496","2,143"
"Bicycles","156","128"
"From Building","848","608"
"Coin Operated Machine","11","3"
"Other","1,340","1,450"
"Value","",""
"Over $400","2,380","null"
"Over $200","0","5,097"
"$200 through $400","796","null"
"$50 through $199","1,073","828"
"Under $50","2,088","2,059"
"Arson","140","139"
"Structural Property","99","88"
"Mobile Property","11","5"
"Other Property","30","46"
