" ","2017","2022"
"Crimes","",""
"Violent Crimes","2,025","1,682"
"Homicide","12","22"
"Rape (Forcible Rape prior to 2014)","298","319"
"Rape","297","308"
"Attempted Rape","1","11"
"Robbery","277","227"
"Weapon","",""
"Firearm","55","44"
"Knife or Cutting Instrument","37","27"
"Other Weapon","26","71"
"Strong-Arm","159","85"
"Location","",""
"Highway","77","66"
"Commercial","59","38"
"Gas Station","5","9"
"Convenience Store","6","9"
"Residence","39","23"
"Bank","10","11"
"Miscellaneous","81","71"
"Aggravated Assault","1,438","1,114"
"Weapon","",""
"Firearm","131","156"
"Knife or Cutting Instrument","204","191"
"Other Weapon","420","378"
"Hands  Fists  Feet","683","389"
"Property Crimes","7,586","5,996"
"Burglary","1,399","993"
"Means of Entry","",""
"Forcible Entry","596","480"
"No Force","803","513"
"Location / Time","",""
"Residence","668","347"
"Night","136","122"
"Day","254","193"
"Unknown","278","32"
"Non-Residence","731","646"
"Night","181","305"
"Day","241","291"
"Unknown","309","50"
"Motor Vehicle Theft","829","885"
"Automotive","554","597"
"Trucks and Buses","190","188"
"Other","85","100"
"Larceny-Theft","5,358","4,118"
"Type","",""
"Pocket-Picking","21","8"
"Purse-Snatching","27","19"
"Shoplifting","758","551"
"From Motor Vehicle","2,073","995"
"Motor Vehicle Accessories","283","619"
"Bicycles","334","265"
"From Building","457","231"
"Coin Operated Machine","11","10"
"Other","1,394","1,420"
"Value","",""
"Over $400","2,000","null"
"Over $200","0","2,827"
"$200 through $400","713","null"
"$50 through $199","841","555"
"Under $50","1,804","736"
"Arson","64","94"
"Structural Property","23","26"
"Mobile Property","6","16"
"Other Property","35","52"
