" ","2011","2017"
"Crimes","",""
"Violent Crimes","7,481","7,412"
"Homicide","79","78"
"Rape (Forcible Rape prior to 2014)","348","387"
"Rape","316","369"
"Attempted Rape","32","18"
"Robbery","2,536","2,206"
"Weapon","",""
"Firearm","876","709"
"Knife or Cutting Instrument","157","137"
"Other Weapon","313","272"
"Strong-Arm","1,190","1,088"
"Location","",""
"Highway","915","736"
"Commercial","483","483"
"Gas Station","66","73"
"Convenience Store","115","111"
"Residence","352","395"
"Bank","81","23"
"Miscellaneous","524","385"
"Aggravated Assault","4,518","4,741"
"Weapon","",""
"Firearm","1,072","1,264"
"Knife or Cutting Instrument","709","651"
"Other Weapon","1,701","1,697"
"Hands  Fists  Feet","1,036","1,129"
"Property Crimes","45,430","36,588"
"Burglary","10,619","6,942"
"Means of Entry","",""
"Forcible Entry","7,528","4,642"
"No Force","3,091","2,300"
"Location / Time","",""
"Residence","7,706","4,224"
"Night","1,939","1,387"
"Day","4,491","2,077"
"Unknown","1,276","760"
"Non-Residence","2,913","2,718"
"Night","1,480","1,398"
"Day","996","906"
"Unknown","437","414"
"Motor Vehicle Theft","7,594","6,203"
"Automotive","6,304","4,884"
"Trucks and Buses","878","908"
"Other","412","411"
"Larceny-Theft","27,217","23,443"
"Type","",""
"Pocket-Picking","65","35"
"Purse-Snatching","63","73"
"Shoplifting","4,089","2,791"
"From Motor Vehicle","9,239","7,695"
"Motor Vehicle Accessories","3,411","3,162"
"Bicycles","1,322","1,195"
"From Building","2,114","1,654"
"Coin Operated Machine","61","40"
"Other","6,853","6,798"
"Value","",""
"Over $400","10,436","9,579"
"Over $200","0","0"
"$200 through $400","4,010","3,407"
"$50 through $199","4,879","4,153"
"Under $50","7,892","6,304"
"Arson","286","315"
"Structural Property","127","133"
"Mobile Property","57","58"
"Other Property","102","124"
