" ","2011","2017"
"Crimes","",""
"Violent Crimes","11,009","11,288"
"Homicide","82","80"
"Rape (Forcible Rape prior to 2014)","660","1,098"
"Rape","499","974"
"Attempted Rape","161","124"
"Robbery","3,050","3,013"
"Weapon","",""
"Firearm","616","544"
"Knife or Cutting Instrument","264","322"
"Other Weapon","265","366"
"Strong-Arm","1,905","1,781"
"Location","",""
"Highway","1,527","1,495"
"Commercial","640","684"
"Gas Station","75","99"
"Convenience Store","132","153"
"Residence","247","216"
"Bank","101","48"
"Miscellaneous","328","318"
"Aggravated Assault","7,217","7,097"
"Weapon","",""
"Firearm","718","829"
"Knife or Cutting Instrument","1,408","1,461"
"Other Weapon","2,743","2,971"
"Hands  Fists  Feet","2,348","1,836"
"Property Crimes","65,100","56,797"
"Burglary","13,326","9,120"
"Means of Entry","",""
"Forcible Entry","6,362","4,658"
"No Force","6,964","4,462"
"Location / Time","",""
"Residence","8,374","5,267"
"Night","1,331","1,027"
"Day","3,162","1,634"
"Unknown","3,881","2,606"
"Non-Residence","4,952","3,853"
"Night","1,533","1,438"
"Day","1,169","708"
"Unknown","2,250","1,707"
"Motor Vehicle Theft","11,354","9,731"
"Automotive","9,537","7,338"
"Trucks and Buses","1,242","1,161"
"Other","575","1,232"
"Larceny-Theft","40,420","37,946"
"Type","",""
"Pocket-Picking","54","79"
"Purse-Snatching","206","159"
"Shoplifting","6,523","5,318"
"From Motor Vehicle","15,341","15,022"
"Motor Vehicle Accessories","1,787","1,387"
"Bicycles","2,332","2,648"
"From Building","8,959","9,112"
"Coin Operated Machine","72","46"
"Other","5,146","4,175"
"Value","",""
"Over $400","16,563","16,107"
"Over $200","0","0"
"$200 through $400","7,282","5,981"
"$50 through $199","7,683","6,951"
"Under $50","8,892","8,907"
"Arson","314","347"
"Structural Property","149","151"
"Mobile Property","95","69"
"Other Property","70","127"
