" ","2017","2022"
"Crimes","",""
"Violent Crimes","3,300","2,973"
"Homicide","41","27"
"Rape (Forcible Rape prior to 2014)","196","223"
"Rape","190","210"
"Attempted Rape","6","13"
"Robbery","905","589"
"Weapon","",""
"Firearm","291","141"
"Knife or Cutting Instrument","86","49"
"Other Weapon","84","86"
"Strong-Arm","444","313"
"Location","",""
"Highway","342","103"
"Commercial","275","161"
"Gas Station","25","19"
"Convenience Store","88","69"
"Residence","80","60"
"Bank","4","15"
"Miscellaneous","91","162"
"Aggravated Assault","2,158","2,134"
"Weapon","",""
"Firearm","247","301"
"Knife or Cutting Instrument","256","198"
"Other Weapon","735","739"
"Hands  Fists  Feet","920","896"
"Property Crimes","16,789","11,292"
"Burglary","2,774","1,528"
"Means of Entry","",""
"Forcible Entry","1,815","1,028"
"No Force","959","500"
"Location / Time","",""
"Residence","1,498","563"
"Night","413","206"
"Day","531","276"
"Unknown","554","81"
"Non-Residence","1,276","965"
"Night","595","473"
"Day","296","329"
"Unknown","385","163"
"Motor Vehicle Theft","3,234","1,763"
"Automotive","2,501","1,160"
"Trucks and Buses","499","450"
"Other","234","153"
"Larceny-Theft","10,781","8,001"
"Type","",""
"Pocket-Picking","12","28"
"Purse-Snatching","27","33"
"Shoplifting","2,501","2,083"
"From Motor Vehicle","3,419","1,987"
"Motor Vehicle Accessories","525","1,019"
"Bicycles","345","171"
"From Building","801","411"
"Coin Operated Machine","22","8"
"Other","3,129","2,261"
"Value","",""
"Over $400","3,304","null"
"Over $200","0","4,826"
"$200 through $400","1,365","null"
"$50 through $199","1,964","1,163"
"Under $50","4,148","2,012"
"Arson","127","192"
"Structural Property","35","58"
"Mobile Property","35","38"
"Other Property","57","96"
