State,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny- theft,Motor vehicle theft,Arson
Adelanto,33693,238,2,28,48,160,578,190,290,98,13
Agoura Hills,20814,16,0,2,4,10,278,71,187,20,4
Alameda,79761,253,0,16,133,104,2347,219,1725,403,25
Albany,19880,36,0,1,28,7,523,77,383,63,3
Alhambra,85865,172,4,17,89,62,1877,363,1244,270,12
Aliso Viejo,51984,44,0,4,8,32,394,62,299,33,3
Alturas,2491,39,2,2,3,32,129,31,88,10,2
American Canyon ,20593,49,0,5,14,30,413,85,272,56,2
Anaheim,353400,1253,10,115,480,648,9296,1351,6393,1552,45
Anderson,10281,43,0,6,3,34,492,124,267,101,4
Angels Camp,3779,7,0,1,0,6,57,13,36,8,0
Antioch,112252,607,10,51,230,316,3838,589,2261,988,75
Apple Valley,73105,231,4,19,63,145,1565,299,986,280,7
Arcadia,58883,110,0,7,56,47,1534,485,957,92,0
Arcata,18054,64,1,7,20,36,705,107,487,111,17
Arroyo Grande,18239,32,0,3,5,24,311,53,226,32,2
Artesia,16933,103,2,2,31,68,460,153,236,71,2
Arvin,21390,229,6,8,23,192,453,72,242,139,5
Atascadero,30661,107,0,8,18,81,518,96,395,27,3
Atherton,7256,4,0,3,0,1,75,12,61,2,0
Atwater,29442,188,0,7,23,158,951,185,649,117,7
Auburn,14069,54,2,5,5,42,271,58,175,38,3
Avalon,3773,20,0,4,0,16,58,13,35,10,0
Avenal,12054,66,1,8,5,52,149,62,65,22,4
Azusa,50202,147,1,16,44,86,1203,251,729,223,14
Bakersfield,381154,1827,41,92,753,941,15507,3667,9063,2777,269
Baldwin Park,76636,348,3,26,89,230,1405,290,788,327,6
Banning,31247,151,3,14,17,117,667,254,255,158,0
Barstow,24028,302,2,17,97,186,988,318,484,186,13
Bear Valley,5497,5,0,3,0,2,59,11,47,1,0
Beaumont,46856,182,1,18,19,144,872,195,561,116,2
Bell,35925,228,0,17,78,133,652,153,348,151,0
Bellflower,77984,363,5,16,158,184,1988,418,1065,505,13
Bell Gardens,42930,100,2,5,47,46,749,87,342,320,6
Belmont,27285,39,1,4,7,27,377,49,296,32,8
Belvedere,2131,0,0,0,0,0,11,0,11,0,0
Benicia,28370,28,0,6,12,10,472,129,273,70,1
Berkeley,122687,666,1,83,364,218,6020,843,4556,621,30
Beverly Hills,34781,118,0,10,50,58,1819,402,1318,99,6
Big Bear ,5270,52,1,8,4,39,178,49,112,17,3
Biggs,1700,17,0,2,0,15,26,7,12,7,0
Bishop,3767,44,0,10,5,29,296,68,217,11,0
Blythe,19572,62,0,13,16,33,805,264,492,49,27
Bradbury,1084,1,0,0,1,0,7,3,4,0,0
Brawley,26342,176,0,11,12,153,892,146,680,66,16
Brea,43000,114,2,8,39,65,1440,180,1160,100,1
Brentwood,62120,157,0,11,45,101,1489,273,1084,132,5
Brisbane,4764,12,0,0,5,7,128,67,49,12,1
Broadmoor,4438,21,0,2,5,14,77,28,37,12,0
Buellton,5139,6,0,0,2,4,76,14,55,7,0
Buena Park,83552,292,1,9,96,186,2814,299,2115,400,15
Burbank,104622,253,0,20,86,147,2944,355,2344,245,16
Burlingame,30551,74,1,19,17,37,895,119,670,106,4
Calabasas,24295,30,0,14,9,7,330,63,248,19,2
Calexico,40499,89,0,3,21,65,1280,486,581,213,38
California City,13753,88,1,3,16,68,341,180,122,39,2
Calimesa,8737,12,1,0,6,5,248,42,175,31,0
Calistoga,5336,9,0,0,0,9,79,25,46,8,0
Camarillo,67714,107,1,8,42,56,1086,182,826,78,6
Campbell,41192,102,1,19,27,55,1340,247,917,176,12
Canyon Lake,11227,16,0,0,0,16,115,22,65,28,2
Capitola,10222,34,1,5,14,14,622,50,540,32,6
Carlsbad,115344,247,0,30,46,171,2209,432,1638,139,18
Carmel,3918,6,0,1,1,4,111,33,77,1,0
Carpinteria,13791,34,0,5,10,19,282,58,195,29,1
Carson,92992,475,8,20,166,281,2250,479,1261,510,21
Cathedral City,54506,137,2,14,49,72,769,176,340,253,6
Central Marin,35060,46,1,8,15,22,892,252,599,41,1
Ceres,48673,227,1,20,75,131,1601,314,879,408,10
