" ","2017","2022"
"Crimes","",""
"Violent Crimes","342","476"
"Homicide","1","2"
"Rape (Forcible Rape prior to 2014)","32","61"
"Rape","30","61"
"Attempted Rape","2","0"
"Robbery","87","71"
"Weapon","",""
"Firearm","17","4"
"Knife or Cutting Instrument","6","9"
"Other Weapon","13","14"
"Strong-Arm","51","44"
"Location","",""
"Highway","27","13"
"Commercial","13","24"
"Gas Station","3","1"
"Convenience Store","14","5"
"Residence","13","15"
"Bank","2","2"
"Miscellaneous","15","11"
"Aggravated Assault","222","342"
"Weapon","",""
"Firearm","18","73"
"Knife or Cutting Instrument","22","28"
"Other Weapon","110","121"
"Hands  Fists  Feet","72","120"
"Property Crimes","2,847","2,362"
"Burglary","610","276"
"Means of Entry","",""
"Forcible Entry","345","130"
"No Force","265","146"
"Location / Time","",""
"Residence","336","121"
"Night","51","38"
"Day","101","83"
"Unknown","184","0"
"Non-Residence","274","155"
"Night","73","60"
"Day","59","95"
"Unknown","142","0"
"Motor Vehicle Theft","484","576"
"Automotive","372","309"
"Trucks and Buses","76","193"
"Other","36","74"
"Larceny-Theft","1,753","1,510"
"Type","",""
"Pocket-Picking","6","4"
"Purse-Snatching","2","7"
"Shoplifting","417","277"
"From Motor Vehicle","581","393"
"Motor Vehicle Accessories","86","295"
"Bicycles","96","28"
"From Building","128","63"
"Coin Operated Machine","2","1"
"Other","435","442"
"Value","",""
"Over $400","570","null"
"Over $200","0","993"
"$200 through $400","292","null"
"$50 through $199","428","211"
"Under $50","463","306"
"Arson","17","7"
"Structural Property","7","2"
"Mobile Property","3","2"
"Other Property","7","3"
