" ","2017","2022"
"Crimes","",""
"Violent Crimes","274","326"
"Homicide","8","4"
"Rape (Forcible Rape prior to 2014)","52","51"
"Rape","49","50"
"Attempted Rape","3","1"
"Robbery","46","41"
"Weapon","",""
"Firearm","9","6"
"Knife or Cutting Instrument","4","3"
"Other Weapon","6","6"
"Strong-Arm","27","26"
"Location","",""
"Highway","8","12"
"Commercial","8","9"
"Gas Station","1","1"
"Convenience Store","2","5"
"Residence","10","7"
"Bank","0","0"
"Miscellaneous","17","7"
"Aggravated Assault","168","230"
"Weapon","",""
"Firearm","21","49"
"Knife or Cutting Instrument","24","27"
"Other Weapon","23","90"
"Hands  Fists  Feet","100","64"
"Property Crimes","1,823","1,486"
"Burglary","447","242"
"Means of Entry","",""
"Forcible Entry","219","41"
"No Force","228","201"
"Location / Time","",""
"Residence","256","127"
"Night","62","46"
"Day","135","68"
"Unknown","59","13"
"Non-Residence","191","115"
"Night","70","38"
"Day","84","60"
"Unknown","37","17"
"Motor Vehicle Theft","256","341"
"Automotive","144","151"
"Trucks and Buses","70","131"
"Other","42","59"
"Larceny-Theft","1,120","903"
"Type","",""
"Pocket-Picking","3","8"
"Purse-Snatching","8","9"
"Shoplifting","172","167"
"From Motor Vehicle","240","174"
"Motor Vehicle Accessories","60","118"
"Bicycles","28","54"
"From Building","310","39"
"Coin Operated Machine","2","1"
"Other","297","333"
"Value","",""
"Over $400","262","null"
"Over $200","0","549"
"$200 through $400","159","null"
"$50 through $199","308","120"
"Under $50","391","234"
"Arson","12","53"
"Structural Property","8","13"
"Mobile Property","0","2"
"Other Property","4","38"
