" ","2017","2022"
"Crimes","",""
"Violent Crimes","77","87"
"Homicide","1","0"
"Rape (Forcible Rape prior to 2014)","5","5"
"Rape","5","5"
"Attempted Rape","0","0"
"Robbery","8","2"
"Weapon","",""
"Firearm","7","1"
"Knife or Cutting Instrument","0","0"
"Other Weapon","0","0"
"Strong-Arm","1","1"
"Location","",""
"Highway","0","1"
"Commercial","0","0"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","0","1"
"Bank","2","0"
"Miscellaneous","6","0"
"Aggravated Assault","63","80"
"Weapon","",""
"Firearm","16","5"
"Knife or Cutting Instrument","10","7"
"Other Weapon","23","27"
"Hands  Fists  Feet","14","41"
"Property Crimes","254","238"
"Burglary","84","74"
"Means of Entry","",""
"Forcible Entry","67","46"
"No Force","17","28"
"Location / Time","",""
"Residence","55","42"
"Night","5","8"
"Day","10","34"
"Unknown","40","0"
"Non-Residence","29","32"
"Night","6","5"
"Day","1","27"
"Unknown","22","0"
"Motor Vehicle Theft","64","34"
"Automotive","63","7"
"Trucks and Buses","0","22"
"Other","1","5"
"Larceny-Theft","106","130"
"Type","",""
"Pocket-Picking","6","0"
"Purse-Snatching","1","2"
"Shoplifting","13","7"
"From Motor Vehicle","16","4"
"Motor Vehicle Accessories","14","39"
"Bicycles","1","4"
"From Building","17","3"
"Coin Operated Machine","2","0"
"Other","36","71"
"Value","",""
"Over $400","47","null"
"Over $200","0","60"
"$200 through $400","15","null"
"$50 through $199","10","14"
"Under $50","34","56"
"Arson","1","9"
"Structural Property","1","1"
"Mobile Property","0","1"
"Other Property","0","7"
