" ","2017","2022"
"Crimes","",""
"Violent Crimes","1,645","2,087"
"Homicide","33","44"
"Rape (Forcible Rape prior to 2014)","162","184"
"Rape","149","171"
"Attempted Rape","13","13"
"Robbery","382","383"
"Weapon","",""
"Firearm","133","152"
"Knife or Cutting Instrument","44","23"
"Other Weapon","44","51"
"Strong-Arm","161","157"
"Location","",""
"Highway","109","100"
"Commercial","56","71"
"Gas Station","30","42"
"Convenience Store","36","33"
"Residence","42","42"
"Bank","2","5"
"Miscellaneous","107","90"
"Aggravated Assault","1,068","1,476"
"Weapon","",""
"Firearm","167","345"
"Knife or Cutting Instrument","188","219"
"Other Weapon","337","551"
"Hands  Fists  Feet","376","361"
"Property Crimes","11,722","9,876"
"Burglary","2,359","1,512"
"Means of Entry","",""
"Forcible Entry","1,801","1,213"
"No Force","558","299"
"Location / Time","",""
"Residence","1,308","597"
"Night","316","253"
"Day","435","253"
"Unknown","557","91"
"Non-Residence","1,051","915"
"Night","373","461"
"Day","270","351"
"Unknown","408","103"
"Motor Vehicle Theft","2,211","2,136"
"Automotive","1,397","907"
"Trucks and Buses","605","908"
"Other","209","321"
"Larceny-Theft","7,152","6,228"
"Type","",""
"Pocket-Picking","19","16"
"Purse-Snatching","34","14"
"Shoplifting","1,419","881"
"From Motor Vehicle","2,092","1,734"
"Motor Vehicle Accessories","752","979"
"Bicycles","320","163"
"From Building","694","471"
"Coin Operated Machine","30","9"
"Other","1,792","1,961"
"Value","",""
"Over $400","2,807","null"
"Over $200","0","3,778"
"$200 through $400","615","null"
"$50 through $199","1,483","912"
"Under $50","2,247","1,538"
"Arson","72","191"
"Structural Property","24","33"
"Mobile Property","25","24"
"Other Property","23","134"
