" ","2017","2022"
"Crimes","",""
"Violent Crimes","206","375"
"Homicide","2","0"
"Rape (Forcible Rape prior to 2014)","48","70"
"Rape","44","69"
"Attempted Rape","4","1"
"Robbery","20","14"
"Weapon","",""
"Firearm","3","7"
"Knife or Cutting Instrument","0","3"
"Other Weapon","3","0"
"Strong-Arm","14","4"
"Location","",""
"Highway","4","2"
"Commercial","6","1"
"Gas Station","0","0"
"Convenience Store","0","3"
"Residence","6","5"
"Bank","1","0"
"Miscellaneous","3","3"
"Aggravated Assault","136","291"
"Weapon","",""
"Firearm","3","22"
"Knife or Cutting Instrument","8","20"
"Other Weapon","65","126"
"Hands  Fists  Feet","60","123"
"Property Crimes","1,124","728"
"Burglary","379","198"
"Means of Entry","",""
"Forcible Entry","195","75"
"No Force","184","123"
"Location / Time","",""
"Residence","232","95"
"Night","25","32"
"Day","134","36"
"Unknown","73","27"
"Non-Residence","147","103"
"Night","47","36"
"Day","73","42"
"Unknown","27","25"
"Motor Vehicle Theft","122","61"
"Automotive","79","20"
"Trucks and Buses","27","25"
"Other","16","16"
"Larceny-Theft","623","469"
"Type","",""
"Pocket-Picking","1","7"
"Purse-Snatching","0","5"
"Shoplifting","68","85"
"From Motor Vehicle","87","102"
"Motor Vehicle Accessories","83","38"
"Bicycles","14","4"
"From Building","183","60"
"Coin Operated Machine","2","2"
"Other","185","166"
"Value","",""
"Over $400","223","null"
"Over $200","0","294"
"$200 through $400","90","null"
"$50 through $199","91","81"
"Under $50","219","94"
"Arson","13","13"
"Structural Property","10","6"
"Mobile Property","0","1"
"Other Property","3","6"
