" ","2017","2022"
"Crimes","",""
"Violent Crimes","2,239","1,645"
"Homicide","26","18"
"Rape (Forcible Rape prior to 2014)","270","175"
"Rape","268","174"
"Attempted Rape","2","1"
"Robbery","730","368"
"Weapon","",""
"Firearm","175","69"
"Knife or Cutting Instrument","148","68"
"Other Weapon","94","57"
"Strong-Arm","313","174"
"Location","",""
"Highway","224","84"
"Commercial","146","78"
"Gas Station","20","10"
"Convenience Store","53","39"
"Residence","43","24"
"Bank","8","7"
"Miscellaneous","236","126"
"Aggravated Assault","1,213","1,084"
"Weapon","",""
"Firearm","174","204"
"Knife or Cutting Instrument","301","238"
"Other Weapon","335","342"
"Hands  Fists  Feet","403","300"
"Property Crimes","15,985","11,124"
"Burglary","2,612","1,619"
"Means of Entry","",""
"Forcible Entry","1,683","1,115"
"No Force","929","504"
"Location / Time","",""
"Residence","1,330","609"
"Night","358","247"
"Day","549","235"
"Unknown","423","127"
"Non-Residence","1,282","1,010"
"Night","589","503"
"Day","209","359"
"Unknown","484","148"
"Motor Vehicle Theft","1,609","1,306"
"Automotive","1,144","796"
"Trucks and Buses","328","306"
"Other","137","204"
"Larceny-Theft","11,764","8,199"
"Type","",""
"Pocket-Picking","38","67"
"Purse-Snatching","10","12"
"Shoplifting","3,029","2,055"
"From Motor Vehicle","4,114","2,096"
"Motor Vehicle Accessories","884","1,498"
"Bicycles","634","472"
"From Building","1,092","523"
"Coin Operated Machine","54","11"
"Other","1,909","1,465"
"Value","",""
"Over $400","4,030","null"
"Over $200","0","4,859"
"$200 through $400","1,861","null"
"$50 through $199","2,545","1,241"
"Under $50","3,328","2,099"
"Arson","110","114"
"Structural Property","34","45"
"Mobile Property","26","21"
"Other Property","50","48"
