" ","2017","2022"
"Crimes","",""
"Violent Crimes","568","596"
"Homicide","9","4"
"Rape (Forcible Rape prior to 2014)","65","82"
"Rape","63","81"
"Attempted Rape","2","1"
"Robbery","166","99"
"Weapon","",""
"Firearm","39","17"
"Knife or Cutting Instrument","8","13"
"Other Weapon","21","14"
"Strong-Arm","98","55"
"Location","",""
"Highway","58","19"
"Commercial","22","24"
"Gas Station","6","3"
"Convenience Store","14","4"
"Residence","24","12"
"Bank","1","3"
"Miscellaneous","41","34"
"Aggravated Assault","328","411"
"Weapon","",""
"Firearm","33","37"
"Knife or Cutting Instrument","51","44"
"Other Weapon","118","167"
"Hands  Fists  Feet","126","163"
"Property Crimes","5,656","5,215"
"Burglary","948","639"
"Means of Entry","",""
"Forcible Entry","580","347"
"No Force","368","292"
"Location / Time","",""
"Residence","479","194"
"Night","153","85"
"Day","153","90"
"Unknown","173","19"
"Non-Residence","469","445"
"Night","177","206"
"Day","75","189"
"Unknown","217","50"
"Motor Vehicle Theft","619","602"
"Automotive","487","311"
"Trucks and Buses","63","96"
"Other","69","195"
"Larceny-Theft","4,089","3,974"
"Type","",""
"Pocket-Picking","13","12"
"Purse-Snatching","14","8"
"Shoplifting","398","397"
"From Motor Vehicle","1,460","882"
"Motor Vehicle Accessories","233","785"
"Bicycles","797","829"
"From Building","162","177"
"Coin Operated Machine","8","8"
"Other","1,004","876"
"Value","",""
"Over $400","1,402","null"
"Over $200","0","2,863"
"$200 through $400","757","null"
"$50 through $199","972","541"
"Under $50","958","570"
"Arson","73","48"
"Structural Property","39","12"
"Mobile Property","13","4"
"Other Property","21","32"
