County,Structural Property,Other,Convenience Store,Pocket-Picking,Knife or Cutting Instrument,Bank,Aggravated Assault,Forcible Entry,Rape (Forcible Rape prior to 2014),Highway,Motor Vehicle Accessories,Robbery,Attempted Rape,Other Weapon,Hands  Fists  Feet,$50 through $199,Purse-Snatching,Mobile Property,Violent Crimes,Non-Residence,From Motor Vehicle,Coin Operated Machine,Homicide,Commercial,Property Crimes,Automotive,Trucks and Buses,From Building,Other Property,Night,Under $50,Bicycles,Over $200,Rape,Residence,Motor Vehicle Theft,Burglary,Arson,Larceny-Theft,Shoplifting,Firearm,Unknown,Gas Station,No Force,Miscellaneous,Strong-Arm,Day
Alameda,222.0,"7,844",304.0,612,529,62.0,"5,748","5,630",691,"2,357","9,816","4,528",35.0,"2,506","1,079","3,584",312.0,119.0,"11,125","5,202","19,250",62.0,158.0,447,"69,271","13,564","1,798","1,380",122,"3,076","12,490","1,264","28,615",656,"2,708","16,672","7,910",463,"44,689","4,149","1,634",785,120.0,"2,280",924,"1,817","1,341"
Alpine,0.0,11,0.0,0,0,0.0,7,8,4,0,0,0,0.0,0,7,0,0.0,0.0,11,7,1,0.0,0.0,0,25,0,0,1,0,1,3,0,10,4,5,0,12,0,13,0,0,5,0.0,4,0,0,1
Amador,2.0,168,0.0,0,6,0.0,104,31,19,2,42,13,0.0,36,56,70,2.0,0.0,136,34,79,2.0,0.0,1,500,23,20,42,3,10,84,5,220,19,38,54,72,5,374,34,6,7,0.0,41,4,7,17
Butte,27.0,847,8.0,17,69,2.0,976,254,183,30,249,121,33.0,325,435,358,9.0,6.0,"1,291",282,862,10.0,11.0,8,"3,949",492,145,114,52,98,739,143,"1,450",150,381,739,663,85,"2,547",296,147,28,6.0,409,44,80,156
Calaveras,1.0,186,2.0,2,11,0.0,214,53,28,2,56,14,3.0,70,82,69,1.0,1.0,257,98,93,1.0,1.0,1,676,27,31,53,0,33,129,2,231,25,85,64,183,2,429,35,51,22,0.0,130,4,8,43
Colusa,2.0,100,0.0,0,5,1.0,42,62,19,2,28,4,1.0,16,14,37,1.0,0.0,65,51,61,0.0,0.0,0,361,28,4,14,2,15,30,4,152,18,50,41,101,4,219,11,7,8,0.0,39,0,3,28
Contra Costa,47.0,"3,188",84.0,178,403,31.0,"3,187","2,139",297,248,"3,658","1,146",21.0,"1,127",869,"2,153",66.0,45.0,"4,674","2,039","5,086",6.0,44.0,322,"24,088","2,482","1,666",794,139,"1,118","3,445",432,"10,500",276,"1,227","4,724","3,266",231,"16,098","2,690",788,211,42.0,"1,127",255,434,710
Del Norte,4.0,110,1.0,0,9,1.0,130,103,26,0,16,16,1.0,26,90,92,1.0,1.0,175,112,60,0.0,3.0,5,637,25,37,38,21,40,197,18,146,25,14,76,126,26,435,192,5,0,0.0,23,9,13,72
El Dorado,4.0,537,2.0,6,51,1.0,340,167,122,7,224,53,7.0,127,130,180,15.0,2.0,526,217,317,1.0,11.0,9,"2,059",114,72,149,10,116,363,41,889,115,187,223,404,16,"1,432",142,32,25,0.0,237,25,40,76
Fresno,149.0,"5,659",105.0,84,402,13.0,"5,581","4,920",371,324,"2,926","1,264",18.0,"1,391","2,442","2,643",76.0,82.0,"7,299","3,557","4,702",28.0,83.0,223,"28,167","3,297","1,086",816,257,"2,092","3,900",306,"10,804",353,"2,330","4,933","5,887",488,"17,347","2,750","1,346",44,31.0,967,269,679,"1,421"
Glenn,1.0,83,1.0,4,5,0.0,109,25,5,1,25,4,0.0,25,75,29,3.0,3.0,118,32,37,1.0,0.0,0,300,36,12,13,3,8,41,2,118,5,18,62,50,7,188,20,4,1,0.0,25,1,3,23
Humboldt,28.0,381,5.0,5,42,1.0,414,249,80,34,194,138,1.0,185,143,309,20.0,8.0,639,318,587,1.0,7.0,45,"3,035",339,188,173,27,145,491,148,"1,068",79,257,592,575,63,"1,868",359,44,28,9.0,326,26,82,145
Imperial,31.0,794,6.0,0,38,0.0,398,399,49,22,166,69,4.0,165,139,280,9.0,7.0,527,428,312,0.0,11.0,9,"2,982",379,115,83,113,163,783,47,721,45,188,582,616,151,"1,784",373,56,59,7.0,217,19,32,206
Inyo,2.0,89,1.0,1,10,0.0,104,35,14,2,15,10,0.0,32,50,35,0.0,0.0,129,41,38,1.0,1.0,1,340,14,13,40,1,8,71,28,135,14,25,33,66,3,241,29,12,12,1.0,31,3,7,21
Kern,113.0,"5,264",154.0,115,610,5.0,"5,017","5,189",293,304,"1,869","1,276",12.0,"1,559","1,903","1,709",36.0,205.0,"6,687","4,653","3,486",15.0,101.0,236,"29,542","5,124","2,958",527,106,"1,577","3,084",196,"9,244",281,"1,791","9,061","6,444",424,"14,037","2,529",945,"2,278",82.0,"1,255",325,566,798
Kings,3.0,471,6.0,7,57,1.0,503,123,68,15,235,60,1.0,169,154,196,6.0,3.0,647,147,326,2.0,16.0,10,"2,110",276,93,82,12,70,269,28,862,67,187,449,334,18,"1,327",170,123,10,1.0,211,14,27,67
Lake,4.0,240,2.0,3,29,0.0,382,91,55,7,102,40,3.0,190,102,91,9.0,2.0,478,124,125,2.0,1.0,5,"1,170",127,82,48,10,51,154,7,372,52,173,256,297,16,617,81,61,21,1.0,206,12,26,52
Lassen,1.0,82,2.0,2,13,0.0,114,51,14,0,23,12,0.0,49,33,39,1.0,1.0,143,107,66,1.0,3.0,3,447,22,23,20,4,50,79,7,112,14,57,53,164,6,230,28,19,16,0.0,113,6,2,41
Los Angeles,809.0,"24,035",903.0,"2,469","7,547",119.0,"38,970","30,906","3,869","7,353","34,976","17,438",177.0,"11,481","9,257","15,692",308.0,437.0,"61,016","23,737","39,718",155.0,739.0,"4,512","244,083","33,824","19,280","19,187","1,957","12,375","31,924","4,347","98,796","3,692","16,062","57,872","39,799","3,203","146,412","21,217","10,685","4,611",454.0,"8,893","3,043","7,857","6,751"
Madera,8.0,726,7.0,20,54,1.0,642,256,85,30,192,85,7.0,267,226,209,3.0,6.0,818,192,319,2.0,6.0,10,"2,305",295,34,81,24,87,287,38,"1,072",78,181,364,373,38,"1,568",187,95,4,7.0,117,16,38,101
Marin,11.0,717,5.0,34,59,2.0,417,316,82,33,494,106,4.0,189,149,288,21.0,1.0,610,409,655,1.0,5.0,27,"4,443",620,233,135,27,160,708,324,"1,851",78,255,932,664,39,"2,847",466,20,36,1.0,348,33,58,213
Mariposa,0.0,97,1.0,0,7,0.0,55,30,12,0,19,3,1.0,22,21,24,0.0,0.0,71,17,10,0.0,1.0,1,229,9,4,18,0,6,43,3,91,11,36,18,53,0,158,11,5,0,0.0,23,1,1,11
Mendocino,6.0,87,3.0,3,14,0.0,124,79,19,7,27,37,0.0,61,46,74,1.0,1.0,182,84,55,0.0,2.0,7,603,79,45,30,16,44,123,27,144,19,30,148,114,23,341,111,3,1,2.0,35,7,23,39
Merced,42.0,"1,393",38.0,56,132,3.0,"1,371",636,191,52,792,307,5.0,446,490,755,27.0,67.0,"1,904",607,961,6.0,35.0,85,"6,590",743,135,291,104,301,880,109,"2,816",186,429,"1,103","1,036",213,"4,451",816,303,41,9.0,400,71,140,265
Modoc,0.0,31,0.0,1,3,0.0,41,10,4,0,4,2,0.0,22,14,6,0.0,0.0,47,14,3,0.0,0.0,0,87,11,5,7,1,6,17,0,23,4,10,17,24,1,46,0,2,2,0.0,14,1,2,6
Mono,1.0,40,0.0,1,3,0.0,39,13,10,1,10,2,2.0,15,20,21,1.0,0.0,51,21,11,0.0,0.0,0,153,0,3,30,0,9,9,13,87,8,10,5,31,1,117,11,1,4,0.0,18,0,2,8
Monterey,16.0,"1,141",33.0,41,178,7.0,"1,239",652,185,94,566,388,10.0,437,443,620,34.0,15.0,"1,835",753,"1,250",4.0,23.0,95,"6,427",725,333,287,48,369,"1,221",157,"2,441",175,250,"1,142","1,003",79,"4,282",802,181,5,13.0,351,129,149,379
Napa,2.0,453,5.0,14,42,2.0,321,104,61,18,169,72,3.0,103,131,174,5.0,0.0,456,185,355,2.0,2.0,17,"2,042",134,151,56,16,44,337,148,936,58,102,308,287,18,"1,447",245,45,40,1.0,183,15,37,101
